analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
10,Probability of launch OFAT,0,1,4,0,0,1.0,0.0,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.96296237898059,,
10,Probability of launch OFAT,1,2,4,0,0,1.0,0.2,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.947005996946245,,
10,Probability of launch OFAT,2,3,4,0,0,1.0,0.4,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.92529487982392,,
10,Probability of launch OFAT,3,4,4,0,0,1.0,0.6,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.4613837020006,,
10,Probability of launch OFAT,4,5,4,0,0,1.0,0.8,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.5560684169177,,
10,Probability of launch OFAT,5,6,4,0,0,1.0,1.0,40,0,73,False,8,300.0,180.0,180.0,60.0,210597.22160079557,210238.02844333395,210238.0284433337,8,8,8,4,4,4,359.1931574616174,359.1931574618211,0.1708507067542405,0.1708507067543376,40,81,success,49.61120622605085,,
10,Probability of launch OFAT,6,7,3,1,0,1.0,0.0,40,0,73,False,8,300.0,180.0,180.0,60.0,157385.1238270653,157096.49934536437,165694.77660877927,6,6,8,3,3,4,288.62448170094285,-8309.652781713958,0.1837243241597793,-5.015036051096419,27,81,success,14.578217923874035,,
10,Probability of launch OFAT,7,8,3,1,0,1.0,0.2,40,0,73,False,8,300.0,180.0,180.0,60.0,157385.1238270653,157096.49934536437,165694.77660877927,6,6,8,3,3,4,288.62448170094285,-8309.652781713958,0.1837243241597793,-5.015036051096419,40,81,success,23.80175612703897,,
10,Probability of launch OFAT,8,9,3,1,0,1.0,0.4,40,0,73,False,8,300.0,180.0,180.0,60.0,160809.06456384843,160325.4006516563,165694.77660877927,7,7,8,3,3,4,483.66391219213256,-4885.712044930842,0.3016764094935919,-2.948621643316169,40,81,success,39.057722142897546,,
10,Probability of launch OFAT,9,10,3,1,0,1.0,0.6,40,0,73,False,8,300.0,180.0,180.0,60.0,181666.3134664724,161187.88655436542,165694.77660877927,8,6,8,4,3,4,20478.426912106952,15971.536857693109,12.70469347905991,9.63913116911548,40,81,success,68.89499211707152,,
10,Probability of launch OFAT,10,11,3,1,0,1.0,0.8,40,0,73,False,8,300.0,180.0,180.0,60.0,188016.1928346517,161187.88655436542,165694.77660877927,8,6,8,5,3,4,26828.306280286317,22321.41622587247,16.644120630763197,13.47140608938772,40,81,success,92.03829821106046,,
10,Probability of launch OFAT,11,12,3,1,0,1.0,1.0,40,0,73,False,8,300.0,180.0,180.0,60.0,188037.86821545663,165994.39730677466,165694.77660877927,9,7,8,5,4,4,22043.470908682008,22343.091606677397,13.279647546141824,13.484487600614898,40,81,success,125.71448048995808,,
10,Probability of launch OFAT,12,13,2,2,0,1.0,0.0,40,0,73,False,8,300.0,180.0,180.0,60.0,104473.21648798011,104459.584167778,116797.1902679496,4,2,8,2,2,4,13.632320202115809,-12323.973779969485,0.013050329762198,-10.551601242886504,9,81,success,2.9189755539409816,,
10,Probability of launch OFAT,13,14,2,2,0,1.0,0.2,40,0,73,False,8,300.0,180.0,180.0,60.0,104459.584167778,104459.584167778,116797.1902679496,2,2,8,2,2,4,0.0,-12337.6061001716,0.0,-10.563273030684517,40,81,success,14.223312098998576,,
