analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,compete_products,established_demand,launch_demand,compete_demand,profit_established,profit_launch,profit_compete,probability_launch,availability,analysis11_mode,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
11,Product-mix + seven-factor full factorial design,0,1,4,0,0,0,15,30,10,300,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.38929726404604,,
11,Product-mix + seven-factor full factorial design,1,2,4,0,0,0,15,30,10,300,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.052360864006918,,
11,Product-mix + seven-factor full factorial design,2,3,4,0,0,0,15,30,10,300,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.712187848985195,,
11,Product-mix + seven-factor full factorial design,3,4,4,0,0,0,15,30,10,300,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,27.844842918915678,,
11,Product-mix + seven-factor full factorial design,4,5,4,0,0,0,15,30,10,600,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,28.400525711942464,,
11,Product-mix + seven-factor full factorial design,5,6,4,0,0,0,15,30,10,600,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.7165066335,215650.590591376,10,6,8,4,3,4,28763.75639781688,36168.8823130744,12.895323575785364,16.771983890185005,40,81,success,31.99612765596248,,
11,Product-mix + seven-factor full factorial design,6,7,4,0,0,0,15,30,10,600,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,28.549102938035503,,
11,Product-mix + seven-factor full factorial design,7,8,4,0,0,0,15,30,10,600,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,28.244143201969564,,
11,Product-mix + seven-factor full factorial design,8,9,4,0,0,0,15,30,10,300,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,28.113571785972454,,
11,Product-mix + seven-factor full factorial design,9,10,4,0,0,0,15,30,10,300,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,27.300567246042192,,
