analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,availability,base_slope,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
12,Established-only availability vs base slope,0,1,4,0,0,0.0,0.0,25,0,73,False,8,300.0,180.0,180.0,60.0,96711.0733009432,96711.0733009432,92711.07330094311,4,4,8,4,4,4,0.0,4000.000000000058,0.0,4.314479228404497,25,81,success,3.626342185074464,,
12,Established-only availability vs base slope,1,2,4,0,0,0.0,0.25,25,0,73,False,8,300.0,180.0,180.0,60.0,96657.01033761512,96657.01033761512,92711.07330094295,4,4,8,4,4,4,0.0,3945.9370366721705,0.0,4.256165845328464,25,81,success,4.027168342843652,,
12,Established-only availability vs base slope,2,3,4,0,0,0.0,0.5,25,0,73,False,8,300.0,180.0,180.0,60.0,96464.47290615692,96464.47290615692,92711.07330094316,4,4,8,4,4,4,0.0,3753.399605213752,0.0,4.048491158149032,25,81,success,4.501155827194452,,
12,Established-only availability vs base slope,3,4,4,0,0,0.0,1.0,25,0,73,False,8,300.0,180.0,180.0,60.0,95671.00128244337,95671.00128244337,92684.11567985867,4,4,8,4,4,4,0.0,2986.8856025846617,0.0,3.222651023506228,25,81,success,4.960959398886189,,
12,Established-only availability vs base slope,4,5,4,0,0,0.2,0.0,25,0,73,False,8,300.0,180.0,180.0,60.0,121298.9767590296,121298.9767590296,117298.9767590296,4,4,8,4,4,4,0.0,4000.0,0.0,3.410089423215776,25,81,success,21.1421106508933,,
12,Established-only availability vs base slope,5,6,4,0,0,0.2,0.25,25,0,73,False,8,300.0,180.0,180.0,60.0,121232.0283359905,121232.0283359905,117298.97675902964,4,4,8,4,4,4,0.0,3933.051576960861,0.0,3.353014395889089,25,81,success,25.5158169681672,,
12,Established-only availability vs base slope,6,7,4,0,0,0.2,0.5,25,0,73,False,8,300.0,180.0,180.0,60.0,120980.58552205196,120980.58552205196,117298.97675902932,4,4,8,4,4,4,0.0,3681.6087630226393,0.0,3.1386537758005124,25,81,success,28.01779914391227,,
12,Established-only availability vs base slope,7,8,4,0,0,0.2,1.0,25,0,73,False,8,300.0,180.0,180.0,60.0,119992.749632852,119992.749632852,117227.34722846236,4,4,8,4,4,4,0.0,2765.402404389635,0.0,2.359007919031205,25,81,success,53.73887418606319,,
12,Established-only availability vs base slope,8,9,4,0,0,0.4,0.0,25,0,73,False,8,300.0,180.0,180.0,60.0,148589.57251763908,148589.57251763935,141886.88021711595,8,8,8,5,5,4,-2.6193447411060333e-10,6702.6923005231365,-1.7628052202620654e-13,4.723969045105965,25,81,success,71.65393842896447,,
12,Established-only availability vs base slope,9,10,4,0,0,0.4,0.25,25,0,73,False,8,300.0,180.0,180.0,60.0,148597.94844344005,148597.9484434401,141886.88021711595,8,8,8,5,5,4,-5.820766091346741e-11,6711.068226324103,-3.917124127431855e-14,4.729872287032315,25,81,success,85.58988368907012,,
12,Established-only availability vs base slope,10,11,4,0,0,0.4,0.5,25,0,73,False,8,300.0,180.0,180.0,60.0,148448.05168751167,148448.05168751162,141882.9202649647,8,8,8,5,5,4,5.820766091346741e-11,6565.131422546983,3.92107947876585e-14,4.6271470944400335,25,81,success,94.0364906960167,,
12,Established-only availability vs base slope,11,12,4,0,0,0.4,1.0,25,0,73,False,8,300.0,180.0,180.0,60.0,147738.1501851997,147738.15018519998,141712.87676508725,8,8,8,5,5,4,-2.9103830456733704e-10,6025.27342011244,-1.9699603941331362e-13,4.251747305998407,25,81,success,78.20160895609297,,
12,Established-only availability vs base slope,12,13,4,0,0,0.6,0.0,25,0,73,False,8,300.0,180.0,180.0,60.0,173721.56671394192,173721.56671394233,166474.78367520202,8,8,8,5,5,4,-4.074536263942719e-10,7246.783038739901,-2.3454406617527413e-13,4.353081517065444,25,81,success,59.56834906688891,,
12,Established-only availability vs base slope,13,14,4,0,0,0.6,0.25,25,0,73,False,8,300.0,180.0,180.0,60.0,173674.58693999844,173674.58693999835,166474.7836752023,8,8,8,5,5,4,8.731149137020111e-11,7199.803264796123,5.027303816209205e-14,4.324861162663033,25,81,success,113.15150990593249,,
12,Established-only availability vs base slope,14,15,4,0,0,0.6,0.5,25,0,73,False,8,300.0,180.0,180.0,60.0,173433.99104205257,173433.99104205248,166440.9288170566,8,8,8,5,5,4,8.731149137020111e-11,6993.062224995985,5.034277931655895e-14,4.201527998370163,25,81,success,106.43664582888596,,
12,Established-only availability vs base slope,15,16,4,0,0,0.6,1.0,25,0,73,False,8,300.0,180.0,180.0,60.0,172262.8410306323,172262.84103063247,166072.18814863454,8,8,8,5,5,4,-1.7462298274040222e-10,6190.652881997754,-1.0137008172839208e-13,3.727687911510579,25,81,success,98.55611878889611,,
12,Established-only availability vs base slope,16,17,4,0,0,0.8,0.0,25,0,73,False,8,300.0,180.0,180.0,60.0,195062.68713328883,195062.68713328883,191062.68713328883,4,4,8,4,4,4,0.0,4000.0,0.0,2.09355372313461,25,81,success,34.29700935189612,,
12,Established-only availability vs base slope,17,18,4,0,0,0.8,0.25,25,0,73,False,8,300.0,180.0,180.0,60.0,194736.13035174413,194736.13035174413,191046.1157443466,4,4,8,4,4,4,0.0,3690.0146073975193,0.0,1.9314784773407323,25,81,success,45.30863860598765,,
12,Established-only availability vs base slope,18,19,4,0,0,0.8,0.5,25,0,73,False,8,300.0,180.0,180.0,60.0,193713.1312574061,193713.1312574061,190863.5060588329,4,4,8,4,4,4,0.0,2849.625198573165,0.0,1.493017317671394,25,81,success,71.52092690393329,,
12,Established-only availability vs base slope,19,20,4,0,0,0.8,1.0,25,0,73,False,8,300.0,180.0,180.0,60.0,192269.7521661035,189898.1551607916,189941.63311137736,8,4,8,5,4,4,2371.5970053119527,2328.1190547261504,1.2488783807846169,1.2257023468683117,25,81,success,64.32305407500826,,
