analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,availability,prob_disruption,base_slope,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
13,Established-only disruption probability vs base slope,0,1,4,0,0,1.0,0.0,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,219650.59059136955,219650.59059136955,215650.5905913699,4,4,8,4,4,4,0.0,3999.9999999996503,0.0,1.854852328032403,30,81,success,3.4898777848575264,,
13,Established-only disruption probability vs base slope,1,2,4,0,0,1.0,0.0,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,216967.7350274153,216967.7350274153,214301.1785117792,4,4,8,4,4,4,0.0,2666.5565156361263,0.0,1.2443032437591368,30,81,success,19.01601271191612,,
13,Established-only disruption probability vs base slope,2,3,4,0,0,1.0,0.0,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,214284.87946346143,214284.87946346143,212949.5569759408,4,4,8,4,4,4,0.0,1335.322487520607,0.0,0.6270604675038007,30,81,success,32.26794621697627,,
13,Established-only disruption probability vs base slope,3,4,4,0,0,1.0,0.0,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,210509.27220523628,210238.0284433334,210238.0284433337,8,8,8,4,4,4,271.2437619028788,271.2437619025586,0.129017458882796,0.1290174588826435,30,81,success,44.43773601506837,,
13,Established-only disruption probability vs base slope,4,5,4,0,0,1.0,0.05,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,208780.56551245428,208780.56551245428,204780.56551245452,4,4,8,4,4,4,0.0,3999.999999999738,0.0,1.953310359305782,30,81,success,3.646014249883592,,
13,Established-only disruption probability vs base slope,5,6,4,0,0,1.0,0.05,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,206211.82872141484,206211.82872141484,203578.54900435865,4,4,8,4,4,4,0.0,2633.279717056197,0.0,1.2934956703124052,30,81,success,17.206875195959583,,
13,Established-only disruption probability vs base slope,6,7,4,0,0,1.0,0.05,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,203643.0919303756,203643.0919303756,202371.76753638985,4,4,8,4,4,4,0.0,1271.324393985764,0.0,0.628212328954017,30,81,success,34.95443924702704,,
13,Established-only disruption probability vs base slope,7,8,4,0,0,1.0,0.05,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,200305.3844260061,199952.60113974623,199941.0972437033,8,8,8,4,4,4,352.78328625982977,364.2871823027963,0.1764334568537424,0.1821972507526932,30,81,success,67.15803001099266,,
13,Established-only disruption probability vs base slope,8,9,4,0,0,1.0,0.1,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,196480.790337508,196480.790337508,192480.79033750852,4,4,8,4,4,4,0.0,3999.999999999447,0.0,2.0781294554046577,30,81,success,3.776688364101574,,
13,Established-only disruption probability vs base slope,9,10,4,0,0,1.0,0.1,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,194103.92426047212,194103.92426047212,191440.34137999048,4,4,8,4,4,4,0.0,2663.58288048167,0.0,1.3913383465999556,30,81,success,19.27301008813083,,
13,Established-only disruption probability vs base slope,10,11,4,0,0,1.0,0.1,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,191727.05818343651,191727.05818343651,190395.5087204888,4,4,8,4,4,4,0.0,1331.5494629477616,0.0,0.6993597022829726,30,81,success,35.66097398917191,,
13,Established-only disruption probability vs base slope,11,12,4,0,0,1.0,0.1,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,188373.40723980172,188233.87799509816,188290.05659908225,8,8,8,4,4,4,139.52924470358994,83.35064071952365,0.0741254689058807,0.0442671494315807,30,81,success,62.56388081796467,,
13,Established-only disruption probability vs base slope,12,13,4,0,0,1.0,0.15,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,181543.13103563135,181543.13103563135,177543.13103563158,4,4,8,4,4,4,0.0,3999.999999999796,0.0,2.252973672744921,30,81,success,3.757081301882863,,
13,Established-only disruption probability vs base slope,13,14,4,0,0,1.0,0.15,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,179268.43999638894,179268.43999638894,176583.713218684,4,4,8,4,4,4,0.0,2684.7267777049565,0.0,1.520370553302472,30,81,success,20.235010675154623,,
13,Established-only disruption probability vs base slope,14,15,4,0,0,1.0,0.15,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,176993.74895714634,176993.74895714634,175618.5061454652,4,4,8,4,4,4,0.0,1375.2428116811498,0.0,0.7830853603446741,30,81,success,34.320846729911864,,
13,Established-only disruption probability vs base slope,15,16,4,0,0,1.0,0.15,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,174025.07726940274,173688.31866114677,173667.20529945736,8,8,8,4,4,4,336.7586082559719,357.87196994537953,0.1938867339219072,0.2060676737028702,30,81,success,47.54601416015066,,
13,Established-only disruption probability vs base slope,16,17,4,0,0,1.0,0.2,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,171097.41017022042,171097.41017022042,167097.4101702206,4,4,8,4,4,4,0.0,3999.9999999998254,0.0,2.3938132828779706,30,81,success,4.377312948927283,,
13,Established-only disruption probability vs base slope,17,18,4,0,0,1.0,0.2,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,168980.149109046,168980.149109046,166303.99248760438,4,4,8,4,4,4,0.0,2676.1566214416234,0.0,1.609195655144054,30,81,success,20.34660080797039,,
13,Established-only disruption probability vs base slope,18,19,4,0,0,1.0,0.2,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,166862.8880478715,166862.8880478715,165504.99938468373,4,4,8,4,4,4,0.0,1357.8886631877683,0.0,0.8204517496366523,30,81,success,31.24266793904826,,
13,Established-only disruption probability vs base slope,19,20,4,0,0,1.0,0.2,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,164185.16008801138,163890.86687646614,163891.12641358914,8,8,8,4,4,4,294.29321154524223,294.0336744222441,0.179566572045206,0.1794079282121915,30,81,success,39.961215334013104,,
13,Established-only disruption probability vs base slope,20,21,4,0,0,1.0,0.25,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,158949.680445836,158949.680445836,154949.68044583593,4,4,8,4,4,4,0.0,4000.0000000000873,0.0,2.581483219901395,30,81,success,4.824133736779913,,
13,Established-only disruption probability vs base slope,21,22,4,0,0,1.0,0.25,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,156939.02635465824,156939.02635465824,154171.2346981488,4,4,8,4,4,4,0.0,2767.791656509449,0.0,1.7952711230006666,30,81,success,17.769041273044422,,
13,Established-only disruption probability vs base slope,22,23,4,0,0,1.0,0.25,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,154928.37226347983,154928.37226347983,153388.675950524,4,4,8,4,4,4,0.0,1539.6963129558426,0.0,1.003787472194151,30,81,success,21.194640446919948,,
13,Established-only disruption probability vs base slope,23,24,4,0,0,1.0,0.25,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,152139.5865437631,151809.23780670873,151809.2378067087,8,8,8,4,4,4,330.34873705435893,330.34873705438804,0.2176077963549068,0.217607796354926,30,81,success,45.20062562008388,,
13,Established-only disruption probability vs base slope,24,25,4,0,0,1.0,0.3,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,147161.6536955295,147161.6536955295,143161.6536955295,4,4,8,4,4,4,0.0,4000.0,0.0,2.7940442826310465,30,81,success,3.816078959032893,,
13,Established-only disruption probability vs base slope,25,26,4,0,0,1.0,0.3,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,145236.92322884555,145236.92322884555,142491.42083723674,4,4,8,4,4,4,0.0,2745.5023916088103,0.0,1.9267843463677068,30,81,success,15.050439131911844,,
13,Established-only disruption probability vs base slope,26,27,4,0,0,1.0,0.3,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,143312.1927621614,143312.1927621614,141814.47426157797,4,4,8,4,4,4,0.0,1497.7185005834326,0.0,1.0561111680468374,30,81,success,18.877012144075707,,
13,Established-only disruption probability vs base slope,27,28,4,0,0,1.0,0.3,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,140752.47997473474,140418.92630207937,140438.50534505627,8,8,8,4,4,4,333.5536726553692,313.9746296784724,0.2375418196389027,0.2235673392471952,30,81,success,46.19124178402126,,
13,Established-only disruption probability vs base slope,28,29,4,0,0,1.0,0.35,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,135164.1659148206,135164.1659148206,131164.16591482065,4,4,8,4,4,4,0.0,3999.999999999942,0.0,3.049613415448837,30,81,success,4.287159617990255,,
13,Established-only disruption probability vs base slope,29,30,4,0,0,1.0,0.35,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,133468.4064713123,133468.4064713123,130564.36798302404,4,4,8,4,4,4,0.0,2904.0384882882645,0.0,2.2242197723239827,30,81,success,11.537370468024164,,
13,Established-only disruption probability vs base slope,30,31,4,0,0,1.0,0.35,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,131772.64702780326,131772.64702780326,129958.0438984032,4,4,8,4,4,4,0.0,1814.6031294000568,0.0,1.3962992016243734,30,81,success,14.860269331140444,,
13,Established-only disruption probability vs base slope,31,32,4,0,0,1.0,0.35,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,129063.42188242344,128723.45833856615,128723.45833856604,8,8,8,4,4,4,339.9635438572732,339.9635438573896,0.2641037991405631,0.2641037991406538,30,81,success,28.16198529303074,,
13,Established-only disruption probability vs base slope,32,33,4,0,0,1.0,0.4,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,123961.27673901702,123961.27673901702,119961.27673901744,4,4,8,4,4,4,0.0,3999.999999999593,0.0,3.3344093266878274,30,81,success,3.603552328888327,,
13,Established-only disruption probability vs base slope,33,34,4,0,0,1.0,0.4,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,122306.74243336468,122306.74243336468,119417.70453350872,4,4,8,4,4,4,0.0,2889.037899855961,0.0,2.419271004363757,30,81,success,6.388950492953882,,
13,Established-only disruption probability vs base slope,34,35,4,0,0,1.0,0.4,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,120652.20812771146,120652.20812771146,118869.99261535934,4,4,8,4,4,4,0.0,1782.2155123521225,0.0,1.4992980761082677,30,81,success,8.408519183984026,,
13,Established-only disruption probability vs base slope,35,36,4,0,0,1.0,0.4,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,118126.74538590084,117777.16703524116,117760.56355347522,8,8,8,4,4,4,349.5783506596636,366.1818324256165,0.2968133463042655,0.310954551656279,30,81,success,19.00143859093077,,
13,Established-only disruption probability vs base slope,36,37,4,0,0,1.0,0.45,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,112377.39691338732,112377.39691338732,108377.39691338726,4,4,8,4,4,4,0.0,4000.000000000058,0.0,3.690806490948262,30,81,success,3.411216737003997,,
13,Established-only disruption probability vs base slope,37,38,4,0,0,1.0,0.45,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,110888.72272193951,110888.72272193951,107899.22107683014,4,4,8,4,4,4,0.0,2989.5016451093834,0.0,2.77064247107094,30,81,success,5.39290617685765,,
13,Established-only disruption probability vs base slope,38,39,4,0,0,1.0,0.45,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,109400.04853049072,109400.04853049072,107416.75876938054,4,4,8,4,4,4,0.0,1983.28976111018,0.0,1.8463504054969888,30,81,success,6.2033844869583845,,
13,Established-only disruption probability vs base slope,39,40,4,0,0,1.0,0.45,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,106790.36370282323,106422.70014759451,106437.05003489395,8,4,8,4,4,4,367.6635552287044,353.31366792926565,0.3454747480742384,0.3319461294853967,30,81,success,12.002253357088192,,
13,Established-only disruption probability vs base slope,40,41,4,0,0,1.0,0.5,0.0,30,0,73,False,8,300.0,180.0,180.0,60.0,98229.67101886618,98229.67101886618,94229.67101886615,4,4,8,4,4,4,0.0,4000.000000000029,0.0,4.244947431896659,30,81,success,3.2948032279964536,,
13,Established-only disruption probability vs base slope,41,42,4,0,0,1.0,0.5,0.25,30,0,73,False,8,300.0,180.0,180.0,60.0,96837.1999046019,96837.1999046019,93878.58233832376,4,4,8,4,4,4,0.0,2958.617566278146,0.0,3.1515362637409137,30,81,success,4.668242356972769,,
13,Established-only disruption probability vs base slope,42,43,4,0,0,1.0,0.5,0.5,30,0,73,False,8,300.0,180.0,180.0,60.0,95444.72879033696,95444.72879033696,93520.55961603316,4,4,8,4,4,4,0.0,1924.1691743037957,0.0,2.057482528124132,30,81,success,5.336382943904027,,
13,Established-only disruption probability vs base slope,43,44,4,0,0,1.0,0.5,1.0,30,0,73,False,8,300.0,180.0,180.0,60.0,93066.95248625823,92768.24006699683,92779.5664192938,8,8,8,4,4,4,298.7124192613992,287.38606696442,0.3219985838317837,0.309751465819156,30,81,success,8.409757755929604,,
