analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
1,All product portfolio combinations,0,1,4,0,0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,166.5055133458227,,
1,All product portfolio combinations,1,2,3,1,0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.7589670305,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.06381038701,21014.16333083858,13.956318432414031,13.926939436500495,40,81,success,364.8263562798966,,
1,All product portfolio combinations,2,3,3,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160149,184133.83379970252,183435.4770746405,7,7,8,4,4,4,527.0304163123074,1225.3871413743473,0.2862213887783391,0.6680207999653922,40,81,success,39.94959752401337,,
1,All product portfolio combinations,3,4,2,2,0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,148181.2427051444,103006.888612457,101582.809355201,9,8,8,6,5,4,45174.3540926874,46598.4333499434,43.85566315146839,45.872361323464006,40,81,success,390.1191807230935,,
1,All product portfolio combinations,4,5,2,1,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,160424.13755332396,149779.7564979813,149839.70587918934,7,8,8,4,4,4,10644.381055342674,10584.431674134628,7.106688716966994,7.063836392383534,40,81,success,265.3642892660573,,
1,All product portfolio combinations,5,6,2,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272797,0.2305293534593822,1.0949773431420844,40,81,success,9.119252763921397,,
1,All product portfolio combinations,6,7,1,3,0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858594,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716923,76340.0542966268,134.8631251571051,146.29639591931257,40,81,success,483.47572774486616,,
1,All product portfolio combinations,7,8,1,2,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,141184.35944676003,101633.69592419686,101487.51262197115,8,7,8,5,4,4,39550.663522563176,39696.84682478887,38.91491218823913,39.11500617091176,40,81,success,468.7449947958812,,
1,All product portfolio combinations,8,9,1,1,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,153744.9203844998,143524.63723284504,143414.83797841938,7,8,8,4,4,4,10220.28315165476,10330.082406080415,7.120925959961869,7.202938379106111,40,81,success,171.3954671358224,,
1,All product portfolio combinations,9,10,1,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,8.299084733007476,,
1,All product portfolio combinations,10,11,0,4,0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103552.869516816,6578.188625384908,2777.042073111632,9,4,8,6,4,4,96974.68089143108,100775.82744370436,1474.185165764486,3628.890913085325,40,81,success,483.4098892339971,,
1,All product portfolio combinations,11,12,0,3,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,116204.76459071742,53261.76173393376,52179.4494847364,9,6,8,5,4,4,62943.002856783656,64025.31510598102,118.17671967219565,122.7021667308119,40,81,success,483.4880081061274,,
1,All product portfolio combinations,12,13,0,2,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,129866.46256703707,100622.69840269414,100063.3760449171,7,8,8,4,4,4,29243.764164342952,29803.086522119997,29.06279063130349,29.784210467515894,40,81,success,349.643441516906,,
1,All product portfolio combinations,13,14,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,142992.77469869278,142407.65640722157,127482.89780211008,6,6,8,3,3,4,585.1182914712117,15509.87689658269,0.4108755850865474,12.166241248028776,40,81,success,58.58489124500193,,
1,All product portfolio combinations,14,15,0,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082834,4,4,8,4,4,4,0.0,4000.000000000408,0.0,3.0860563044537126,40,81,success,5.650832936167717,,
