analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_slope,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
4,Launch products vs growth slope,0,1,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,172.2261761368718,,
4,Launch products vs growth slope,1,2,4,0,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.21411401196383,,
4,Launch products vs growth slope,2,3,4,0,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.4815102829598,,
4,Launch products vs growth slope,3,4,4,0,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,176.74124666606076,,
4,Launch products vs growth slope,4,5,4,0,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,185.695094130002,,
4,Launch products vs growth slope,5,6,4,0,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.99421922606416,,
4,Launch products vs growth slope,6,7,4,0,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,189.4153393600136,,
4,Launch products vs growth slope,7,8,4,0,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.18590171798127,,
4,Launch products vs growth slope,8,9,3,1,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,173509.09061080182,150913.4652165868,150970.37373506345,8,8,8,5,4,4,22595.62539421502,22538.716875738377,14.972570778748212,14.929231688391637,40,81,success,359.94320578686893,,
4,Launch products vs growth slope,9,10,3,1,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,173159.40160148332,150903.46762317346,150957.1655645183,8,8,8,5,4,4,22255.93397830985,22202.236036964983,14.74845762582869,14.707639716165616,40,81,success,356.50813691387884,,
