analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,net_revenue,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
7,Decline products vs net revenue,0,1,4,0,0,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,44974.93235215096,44974.93235215096,42311.17145251532,4,4,8,4,4,4,0.0,2663.760899635643,0.0,6.295644408297959,40,81,success,9.426757261157036,,
7,Decline products vs net revenue,1,2,4,0,0,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,117406.20640257132,117406.18852822384,116078.66672895256,4,4,8,4,4,4,0.0178743474825751,1327.5396736187686,1.5224365688592475e-05,1.1436551702636426,40,81,success,50.614147793035954,,
7,Decline products vs net revenue,2,3,4,0,0,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,169.38039084500633,,
7,Decline products vs net revenue,3,4,4,0,0,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,274361.3807316168,264700.52950874896,263613.657281827,8,8,8,5,5,4,9660.851222867845,10747.723449789804,3.6497287107045744,4.077073836238881,40,81,success,330.40513303596526,,
7,Decline products vs net revenue,4,5,4,0,0,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,356529.56757544493,346705.7630809111,337381.1525582636,8,8,8,5,5,4,9823.804494533804,19148.41501718131,2.833470204601477,5.675603059620972,40,81,success,183.53240637807176,,
7,Decline products vs net revenue,5,6,4,0,0,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,440724.4623716533,428710.9966530735,411148.6478347024,8,8,8,6,5,4,12013.46571857977,29575.81453695096,2.802229430168185,7.193460246728472,40,81,success,185.41624751500785,,
7,Decline products vs net revenue,6,7,4,0,0,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,532239.8143889179,510716.2302252341,484916.143111137,12,8,8,8,5,4,21523.58416368376,47323.6712777809,4.214392041974368,9.759145359476078,40,81,success,331.11695063090883,,
7,Decline products vs net revenue,7,8,4,0,0,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,626686.372282314,592721.4637974002,558683.6383875759,12,8,8,8,5,4,33964.90848491376,68002.73389473814,5.730332130594717,12.171957297872856,40,81,success,332.0270129039418,,
7,Decline products vs net revenue,8,9,4,0,0,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,721191.0469277676,674726.6973695582,632451.1336640102,12,8,8,8,5,4,46464.34955820942,88739.91326375736,6.886395593853341,14.03110984237724,40,81,success,327.9507343140431,,
7,Decline products vs net revenue,9,10,4,0,0,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,815644.0622380608,756731.9309417232,706218.6289404491,12,8,8,8,5,4,58912.13129633758,109425.43329761166,7.785072743398544,15.494554917332662,40,81,success,326.8654431849718,,
7,Decline products vs net revenue,10,11,3,0,1,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,41639.48438370437,41102.1793448841,40174.27647559881,7,6,8,4,4,4,537.3050388202755,1465.2079081055635,1.307242212905075,3.64712954817122,40,81,success,16.043723456095904,,
7,Decline products vs net revenue,11,12,3,0,1,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,113150.17429985949,112603.78125849408,111804.87677511954,7,7,8,4,4,4,546.3930413654016,1345.29752473993,0.4852350740434707,1.203254780599432,40,81,success,15.891373557969928,,
7,Decline products vs net revenue,12,13,3,0,1,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.83379970252,183435.4770746405,7,7,8,4,4,4,527.0304163126566,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,39.353358758147806,,
7,Decline products vs net revenue,13,14,3,0,1,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,256171.55413216967,255663.8863409108,255066.077374161,7,7,8,4,4,4,507.6677912588639,1105.4767580086773,0.198568440198833,0.4334079895646153,40,81,success,54.03963902080432,,
7,Decline products vs net revenue,14,15,3,0,1,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,329127.8662433284,327193.93888212164,326696.6776736822,9,7,8,5,4,4,1933.9273612067336,2431.188569646154,0.5910645434979989,0.7441730313751531,40,81,success,124.94833413604648,,
7,Decline products vs net revenue,15,16,3,0,1,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,405979.9076509564,398723.991423327,398327.2779732029,9,7,8,5,4,4,7255.916227629408,7652.629677753488,1.8197842075486677,1.921191467652464,40,81,success,113.51358298095874,,
7,Decline products vs net revenue,16,17,3,0,1,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,488726.0356532141,470254.0439645346,469957.8782727242,14,7,8,7,4,4,18471.991688679496,18768.157380489865,3.928087791217933,3.9935828822510766,40,81,success,313.6093409738969,,
7,Decline products vs net revenue,17,18,3,0,1,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,576330.406820832,544349.1335248431,541588.4785722438,15,8,8,8,5,4,31981.27329598891,34741.92824858823,5.875139928835643,6.414820407586258,40,81,success,318.4139801131096,,
7,Decline products vs net revenue,18,19,3,0,1,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,664920.1648688818,620311.7014879711,613219.0788717668,15,8,8,8,5,4,44608.46338091069,51701.085997115006,7.191298064167781,8.431095472801895,40,81,success,320.6242317198776,,
7,Decline products vs net revenue,19,20,3,0,1,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,753384.1821589142,696266.5181010307,684849.6791712863,15,8,8,8,5,4,57117.66405788344,68534.50298762787,8.203419606282928,10.007232984406036,40,81,success,315.4081102099736,,
