analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,decline_demand_level,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
8,Decline products vs decline demand level,0,1,4,0,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,191.791549339192,,
8,Decline products vs decline demand level,1,2,4,0,0,10,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.5850682388991,,
8,Decline products vs decline demand level,2,3,4,0,0,15,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,191.46400335198268,,
8,Decline products vs decline demand level,3,4,4,0,0,20,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,190.6469540069811,,
8,Decline products vs decline demand level,4,5,4,0,0,25,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,164.03769383300096,,
8,Decline products vs decline demand level,5,6,4,0,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,185.5782793839462,,
8,Decline products vs decline demand level,6,7,3,0,1,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,175005.5576044393,174478.52718812667,173565.2845363087,7,7,8,4,4,4,527.0304163126275,1440.2730681305984,0.3020603307502541,0.829816326449373,40,81,success,13.500109627842903,,
8,Decline products vs decline demand level,7,8,3,0,1,10,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,180245.40166178468,179718.37124547214,178892.4143258042,7,7,8,4,4,4,527.0304163125402,1352.9873359804917,0.2932535013867249,0.7563134194814939,40,81,success,24.066728706937283,,
8,Decline products vs decline demand level,8,9,3,0,1,15,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.83379970252,183435.4770746405,7,7,8,4,4,4,527.0304163126566,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,39.37180615402758,,
8,Decline products vs decline demand level,9,10,3,0,1,20,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,187728.26908048807,187201.23866417533,186757.67045802576,7,7,8,4,4,4,527.0304163127148,970.5986224623048,0.2815314792110788,0.5197101784798976,40,81,success,52.39368498488329,,
