analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,decline_slope,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
9,Decline products vs decline slope,0,1,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,176.73529638396576,,
9,Decline products vs decline slope,1,2,4,0,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,169.76420845207758,,
9,Decline products vs decline slope,2,3,4,0,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,171.69530675199348,,
9,Decline products vs decline slope,3,4,4,0,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,207.6925768830115,,
9,Decline products vs decline slope,4,5,4,0,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,177.07034026703332,,
9,Decline products vs decline slope,5,6,4,0,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,174.0165471410146,,
9,Decline products vs decline slope,6,7,4,0,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,171.8061522290809,,
9,Decline products vs decline slope,7,8,4,0,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,176.71433072700165,,
9,Decline products vs decline slope,8,9,3,0,1,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184801.64935957003,184274.61894325743,183524.1492226301,7,7,8,4,4,4,527.0304163125984,1277.5001369399251,0.2860027166708637,0.6960937524304831,40,81,success,57.887387265916914,,
9,Decline products vs decline slope,9,10,3,0,1,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.83379970252,183435.4770746405,7,7,8,4,4,4,527.0304163126566,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,51.41503016895149,,
