Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Competition Time,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Growth Slope,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
6,Decline products vs competition time,0,1,4,0,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,225.8171880879672,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,1,300
6,Decline products vs competition time,1,2,4,0,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,222.887732493924,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,2,300
6,Decline products vs competition time,2,3,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,222.7764985389076,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,3,300
6,Decline products vs competition time,3,4,4,0,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,222.4527614669641,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,4,300
6,Decline products vs competition time,4,5,4,0,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,227.0147285850253,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,5,300
6,Decline products vs competition time,5,6,3,0,1,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,182252.8131151229,182043.5107895416,181344.68301548445,7,7,8,4,4,4,209.30232558131684,908.1300996384525,0.1149737909764429,0.5007756966113587,40,81,success,61.4580384879373,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,1,300
6,Decline products vs competition time,6,7,3,0,1,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183505.9568612052,183121.3776109465,182411.5809876001,7,7,8,4,4,4,384.5792502586846,1094.3758736051095,0.2100133011645142,0.5999486807142322,40,81,success,68.1900607800344,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,2,300
6,Decline products vs competition time,7,8,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.8337997025,183435.4770746405,7,7,8,4,4,4,527.0304163127148,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,54.32701634708792,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,3,300
6,Decline products vs competition time,8,9,3,0,1,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,185737.41127650667,185142.7121779606,184535.91039068767,7,7,8,4,4,4,594.6990985460579,1201.5008858189976,0.3212111843616229,0.6510932659530909,40,81,success,68.46302409796044,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,4,300
6,Decline products vs competition time,9,10,3,0,1,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,186179.23730918404,185560.8205276343,185198.33368659552,7,7,8,4,4,4,618.4167815497494,980.9036225885211,0.3332690488171521,0.5296503500125812,40,81,success,82.16909374599345,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,5,300
