Machine,Year,Capacity
Machine 1,2025,8520
Machine 1,2026,8520
Machine 1,2027,8520
Machine 1,2028,8520
Machine 1,2029,8520
Machine 1,2030,8520
Machine 1,2031,8520
Machine 1,2032,8520
Machine 1,2033,8520
Machine 2,2025,8520
Machine 2,2026,8520
Machine 2,2027,8483
Machine 2,2028,8507
Machine 2,2029,8483
Machine 2,2030,8483
Machine 2,2031,8483
Machine 2,2032,8507
Machine 2,2033,8483
Machine 3,2025,8520
Machine 3,2026,8520
Machine 3,2027,8483
Machine 3,2028,8507
Machine 3,2029,6509
Machine 3,2030,6509
Machine 3,2031,6509
Machine 3,2032,6509
Machine 3,2033,6509
Machine 4,2025,4852
Machine 4,2026,3952
Machine 4,2027,3912
Machine 4,2028,3936
Machine 4,2029,3936
Machine 4,2030,3936
Machine 4,2031,3936
Machine 4,2032,3936
Machine 4,2033,3936
Machine 5,2025,5131
Machine 5,2026,4604
Machine 5,2027,4032
Machine 5,2028,4032
Machine 5,2029,4032
Machine 5,2030,4032
Machine 5,2031,4032
Machine 5,2032,4032
Machine 5,2033,4032
