Product,Year,Low,Base,High
Decline 1,2025,2894.7773,3456.259145,4072.129212
Decline 1,2026,2600.388435,3407.943895,4050.943895
Decline 1,2027,2543.388435,3113.55503,3670.555031
Decline 1,2028,2666.7773,3047.166165,3736.943895
Decline 1,2029,1565.66638,2259.22184,2882.610705
Decline 1,2030,473.9443251,977.7220551,1544.11092
Decline 1,2031,239.7990071,977.7220551,1544.11092
Decline 1,2032,32.8432985,607.5554601,1256.713338
Decline 2,2025,663.8815771,1097.826268,1382.830353
Decline 2,2026,496.8337191,782.7680227,1089.841929
Decline 2,2027,464.2887564,823.0560987,1065.886626
Decline 2,2028,483.5003857,853.1148208,1179.327024
Decline 2,2029,458.4887564,853.1148208,1189.841929
Decline 2,2030,397.4300391,793.1148207,991.393526
Decline 2,2031,404.3279044,665.5923062,944.9238804
Decline 2,2032,379.4511235,714.3560987,1194.99404
Decline 3,2025,1223,2375.133859,2599
Decline 3,2026,1062,1923,2314
Decline 3,2027,670,1645,2188
Decline 3,2028,458.0181405,1119,1497.667701
Decline 3,2029,268,526.0000001,1171.788571
Decline 3,2030,201,392,691.2601275
Decline 3,2031,134,201,492.4739318
Decline 3,2032,67,316.305327,584.2266571
Decline 4,2025,214.4533333,559.68,1091.52
Decline 4,2026,208.4533333,549.68,1063.02
Decline 4,2027,191.7866667,539.68,1019.52
Decline 4,2028,181.12,529.68,1004.52
Decline 4,2029,76.43331867,373.12,744.18
Decline 4,2030,36.66666667,186.5600001,458.3400002
Decline 4,2031,0,0,0
Decline 4,2032,0,0,0
Decline 5,2025,1809.32464,2040.800368,2040.800368
Decline 5,2026,1297.792,1710.304,1910.304
Decline 5,2027,1152.897648,1592.103307,1792.103307
Decline 5,2028,1152.897648,1511.695501,1711.695501
Decline 5,2029,964.182804,1356.812827,1556.812827
Decline 5,2030,843.004,1218.610036,1418.610036
Decline 5,2031,416.4759425,1020.198713,1367.367525
Decline 5,2032,189.5069516,823.9449517,1111.797171
