i,s,t,capacity
Machine 1,0,2025,8520.0
Machine 1,0,2026,8520.0
Machine 1,0,2027,8520.0
Machine 1,0,2028,8520.0
Machine 1,0,2029,8520.0
Machine 1,0,2030,8520.0
Machine 1,0,2031,8520.0
Machine 1,0,2032,8520.0
Machine 2,0,2025,8520.0
Machine 2,0,2026,8520.0
Machine 2,0,2027,8483.0
Machine 2,0,2028,8507.0
Machine 2,0,2029,8483.0
Machine 2,0,2030,8483.0
Machine 2,0,2031,8483.0
Machine 2,0,2032,8507.0
Machine 3,0,2025,8520.0
Machine 3,0,2026,8520.0
Machine 3,0,2027,8483.0
Machine 3,0,2028,8507.0
Machine 3,0,2029,6509.0
Machine 3,0,2030,6509.0
Machine 3,0,2031,6509.0
Machine 3,0,2032,6509.0
Machine 4,0,2025,4852.0
Machine 4,0,2026,3952.0
Machine 4,0,2027,3912.0
Machine 4,0,2028,3936.0
Machine 4,0,2029,3936.0
Machine 4,0,2030,3936.0
Machine 4,0,2031,3936.0
Machine 4,0,2032,3936.0
Machine 5,0,2025,5131.0
Machine 5,0,2026,4604.0
Machine 5,0,2027,4032.0
Machine 5,0,2028,4032.0
Machine 5,0,2029,4032.0
Machine 5,0,2030,4032.0
Machine 5,0,2031,4032.0
Machine 5,0,2032,4032.0
Machine 1,1,2025,8520.0
Machine 1,1,2026,8520.0
Machine 1,1,2027,8520.0
Machine 1,1,2028,8520.0
Machine 1,1,2029,8520.0
Machine 1,1,2030,8520.0
Machine 1,1,2031,8520.0
Machine 1,1,2032,8520.0
Machine 2,1,2025,8520.0
Machine 2,1,2026,8520.0
Machine 2,1,2027,8483.0
Machine 2,1,2028,8507.0
Machine 2,1,2029,8483.0
Machine 2,1,2030,8483.0
Machine 2,1,2031,8483.0
Machine 2,1,2032,8507.0
Machine 3,1,2025,8520.0
Machine 3,1,2026,8520.0
Machine 3,1,2027,8483.0
Machine 3,1,2028,8507.0
Machine 3,1,2029,6509.0
Machine 3,1,2030,6509.0
Machine 3,1,2031,6509.0
Machine 3,1,2032,6509.0
Machine 4,1,2025,4852.0
Machine 4,1,2026,3952.0
Machine 4,1,2027,3912.0
Machine 4,1,2028,3936.0
Machine 4,1,2029,3936.0
Machine 4,1,2030,3936.0
Machine 4,1,2031,3936.0
Machine 4,1,2032,3936.0
Machine 5,1,2025,5131.0
Machine 5,1,2026,4604.0
Machine 5,1,2027,4032.0
Machine 5,1,2028,4032.0
Machine 5,1,2029,4032.0
Machine 5,1,2030,4032.0
Machine 5,1,2031,4032.0
Machine 5,1,2032,4032.0
Machine 1,2,2025,8520.0
Machine 1,2,2026,8520.0
Machine 1,2,2027,8520.0
Machine 1,2,2028,8520.0
Machine 1,2,2029,8520.0
Machine 1,2,2030,8520.0
Machine 1,2,2031,8520.0
Machine 1,2,2032,8520.0
Machine 2,2,2025,8520.0
Machine 2,2,2026,8520.0
Machine 2,2,2027,8483.0
Machine 2,2,2028,8507.0
Machine 2,2,2029,8483.0
Machine 2,2,2030,8483.0
Machine 2,2,2031,8483.0
Machine 2,2,2032,8507.0
Machine 3,2,2025,8520.0
Machine 3,2,2026,8520.0
Machine 3,2,2027,8483.0
Machine 3,2,2028,8507.0
Machine 3,2,2029,6509.0
Machine 3,2,2030,6509.0
Machine 3,2,2031,6509.0
Machine 3,2,2032,6509.0
Machine 4,2,2025,4852.0
Machine 4,2,2026,3952.0
Machine 4,2,2027,3912.0
Machine 4,2,2028,3936.0
Machine 4,2,2029,3936.0
Machine 4,2,2030,3936.0
Machine 4,2,2031,3936.0
Machine 4,2,2032,3936.0
Machine 5,2,2025,5131.0
Machine 5,2,2026,4604.0
Machine 5,2,2027,4032.0
Machine 5,2,2028,4032.0
Machine 5,2,2029,4032.0
Machine 5,2,2030,4032.0
Machine 5,2,2031,4032.0
Machine 5,2,2032,4032.0
Machine 1,3,2025,8520.0
Machine 1,3,2026,8520.0
Machine 1,3,2027,8520.0
Machine 1,3,2028,8520.0
Machine 1,3,2029,8520.0
Machine 1,3,2030,8520.0
Machine 1,3,2031,8520.0
Machine 1,3,2032,8520.0
Machine 2,3,2025,8520.0
Machine 2,3,2026,8520.0
Machine 2,3,2027,8483.0
Machine 2,3,2028,8507.0
Machine 2,3,2029,8483.0
Machine 2,3,2030,8483.0
Machine 2,3,2031,8483.0
Machine 2,3,2032,8507.0
Machine 3,3,2025,8520.0
Machine 3,3,2026,8520.0
Machine 3,3,2027,8483.0
Machine 3,3,2028,8507.0
Machine 3,3,2029,6509.0
Machine 3,3,2030,6509.0
Machine 3,3,2031,6509.0
Machine 3,3,2032,6509.0
Machine 4,3,2025,4852.0
Machine 4,3,2026,3952.0
Machine 4,3,2027,3912.0
Machine 4,3,2028,3936.0
Machine 4,3,2029,3936.0
Machine 4,3,2030,3936.0
Machine 4,3,2031,3936.0
Machine 4,3,2032,3936.0
Machine 5,3,2025,5131.0
Machine 5,3,2026,4604.0
Machine 5,3,2027,4032.0
Machine 5,3,2028,4032.0
