j,s,t,demand
Decline 1,0,2025,4072.129212
Decline 1,0,2026,4050.943895
Decline 1,0,2027,3670.555031
Decline 1,0,2028,3736.943895
Decline 1,0,2029,2882.610705
Decline 1,0,2030,1544.11092
Decline 1,0,2031,1544.11092
Decline 1,0,2032,1256.713338
Decline 2,0,2025,663.8815771
Decline 2,0,2026,496.8337191
Decline 2,0,2027,464.2887564
Decline 2,0,2028,483.5003857
Decline 2,0,2029,458.4887564
Decline 2,0,2030,397.4300391
Decline 2,0,2031,404.3279044
Decline 2,0,2032,379.4511235
Decline 3,0,2025,1223.0
Decline 3,0,2026,1062.0
Decline 3,0,2027,670.0
Decline 3,0,2028,458.0181405
Decline 3,0,2029,268.0
Decline 3,0,2030,201.0
Decline 3,0,2031,134.0
Decline 3,0,2032,67.0
Decline 4,0,2025,214.4533333
Decline 4,0,2026,208.4533333
Decline 4,0,2027,191.7866667
Decline 4,0,2028,181.12
Decline 4,0,2029,76.43331867
Decline 4,0,2030,36.66666667
Decline 4,0,2031,0.0
Decline 4,0,2032,0.0
Decline 5,0,2025,1809.32464
Decline 5,0,2026,1297.792
Decline 5,0,2027,1152.897648
Decline 5,0,2028,1152.897648
Decline 5,0,2029,964.182804
Decline 5,0,2030,843.004
Decline 5,0,2031,416.4759425
Decline 5,0,2032,189.5069516
Growth 1,0,2025,0.0
Growth 1,0,2026,0.0
Growth 1,0,2027,0.0
Growth 1,0,2028,0.0
Growth 1,0,2029,0.0
Growth 1,0,2030,0.0
Growth 1,0,2031,0.0
Growth 1,0,2032,0.0
Growth 2,0,2025,0.0
Growth 2,0,2026,0.0
Growth 2,0,2027,0.0
Growth 2,0,2028,0.0
Growth 2,0,2029,0.0
Growth 2,0,2030,0.0
Growth 2,0,2031,0.0
Growth 2,0,2032,0.0
Growth 3,0,2025,0.0
Growth 3,0,2026,0.0
Growth 3,0,2027,55.76354826
Growth 3,0,2028,172.0499227
Growth 3,0,2029,789.1875069
Growth 3,0,2030,2013.330648
Growth 3,0,2031,2975.817231
Growth 3,0,2032,4040.98506
Growth 4,0,2025,0.0
Growth 4,0,2026,0.0
Growth 4,0,2027,0.0
Growth 4,0,2028,0.0
Growth 4,0,2029,0.0
Growth 4,0,2030,0.0
Growth 4,0,2031,0.0
Growth 4,0,2032,0.0
Growth 5,0,2025,0.0
Growth 5,0,2026,0.0
Growth 5,0,2027,0.0
Growth 5,0,2028,0.0
Growth 5,0,2029,0.0
