i,j,p_ij
Machine 1,Decline 1,990.0
Machine 1,Decline 2,1562.0
Machine 1,Decline 3,1498.0
Machine 1,Decline 4,102.0
Machine 1,Decline 5,2733.0
Machine 1,Growth 1,192.0
Machine 1,Growth 2,1364.0
Machine 1,Growth 3,1890.0
Machine 1,Growth 4,3306.0
Machine 1,Growth 5,246.0
Machine 1,Growth 6,936.0
Machine 1,Growth 7,1232.0
Machine 1,Growth 8,186.0
Machine 1,Growth 9,1245.0
Machine 1,Mature 1,1472.0
Machine 1,Mature 2,2314.0
Machine 1,Mature 3,4928.0
Machine 1,Mature 4,3013.0
Machine 2,Decline 1,990.0
Machine 2,Decline 2,1562.0
Machine 2,Decline 3,1498.0
Machine 2,Decline 4,102.0
Machine 2,Decline 5,2733.0
Machine 2,Growth 1,192.0
Machine 2,Growth 2,1364.0
Machine 2,Growth 3,1890.0
Machine 2,Growth 4,3306.0
Machine 2,Growth 5,246.0
Machine 2,Growth 6,936.0
Machine 2,Growth 7,1232.0
Machine 2,Growth 8,186.0
Machine 2,Growth 9,1245.0
Machine 2,Mature 1,1472.0
Machine 2,Mature 2,2314.0
Machine 2,Mature 3,4928.0
Machine 2,Mature 4,3013.0
Machine 3,Decline 1,990.0
Machine 3,Decline 2,1562.0
Machine 3,Decline 3,1498.0
Machine 3,Decline 4,102.0
Machine 3,Decline 5,2733.0
Machine 3,Growth 1,192.0
Machine 3,Growth 2,1364.0
Machine 3,Growth 3,1890.0
Machine 3,Growth 4,3306.0
Machine 3,Growth 5,246.0
Machine 3,Growth 6,936.0
Machine 3,Growth 7,1232.0
Machine 3,Growth 8,186.0
Machine 3,Growth 9,1245.0
Machine 3,Mature 1,1472.0
Machine 3,Mature 2,2314.0
Machine 3,Mature 3,4928.0
Machine 3,Mature 4,3013.0
Machine 4,Decline 1,990.0
Machine 4,Decline 2,1562.0
Machine 4,Decline 3,1498.0
Machine 4,Decline 4,102.0
Machine 4,Decline 5,2733.0
Machine 4,Growth 1,192.0
Machine 4,Growth 2,1364.0
Machine 4,Growth 3,1890.0
Machine 4,Growth 4,3306.0
Machine 4,Growth 5,246.0
Machine 4,Growth 6,936.0
Machine 4,Growth 7,1232.0
Machine 4,Growth 8,186.0
Machine 4,Growth 9,1245.0
Machine 4,Mature 1,1472.0
Machine 4,Mature 2,2314.0
Machine 4,Mature 3,4928.0
Machine 4,Mature 4,3013.0
Machine 5,Decline 1,990.0
Machine 5,Decline 2,1562.0
Machine 5,Decline 3,1498.0
Machine 5,Decline 4,102.0
Machine 5,Decline 5,2733.0
Machine 5,Growth 1,192.0
Machine 5,Growth 2,1364.0
Machine 5,Growth 3,1890.0
Machine 5,Growth 4,3306.0
Machine 5,Growth 5,246.0
Machine 5,Growth 6,936.0
Machine 5,Growth 7,1232.0
Machine 5,Growth 8,186.0
Machine 5,Growth 9,1245.0
Machine 5,Mature 1,1472.0
Machine 5,Mature 2,2314.0
Machine 5,Mature 3,4928.0
Machine 5,Mature 4,3013.0
