s,Decline 1,Decline 2,Decline 3,Decline 4,Decline 5,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7,Growth 8,Growth 9,Mature 1,Mature 2,Mature 3,Mature 4
0,High,Low,Low,Low,Low,NoLaunch,NoLaunch,Base,NoLaunch,NoLaunch,Base,Low,NoLaunch,Low,High,Base,High,Low
1,High,Base,Low,Low,Base,High,Low,Low,Base,High,NoLaunch,High,NoLaunch,NoLaunch,Low,High,High,Low
2,High,High,Low,Base,Low,High,Low,High,Low,Base,Low,Low,Base,Base,Low,Low,Low,Base
3,Base,Base,High,Base,Low,NoLaunch,Base,High,High,Base,Base,Low,Base,High,High,Base,Base,Base
4,Base,Base,Low,Base,Base,High,Base,Base,Low,High,Low,Base,Base,NoLaunch,High,Low,High,Base
5,High,High,Base,Low,Low,Base,Low,NoLaunch,Low,Low,High,Base,NoLaunch,Low,Base,Base,High,Low
6,High,Low,High,Low,Low,Low,Base,Base,High,High,High,Base,NoLaunch,High,High,High,Low,Low
7,Base,Base,Low,Low,Base,High,Low,Low,NoLaunch,High,Low,NoLaunch,Low,Low,High,Low,High,Low
8,Low,High,High,Base,Low,Base,Low,Base,High,Low,High,NoLaunch,Base,Low,High,High,Low,High
9,Low,Low,Low,High,Low,High,Low,Base,Low,High,Base,Base,NoLaunch,Base,High,High,Base,High
10,Base,Low,Base,Low,Low,High,Low,Base,NoLaunch,Base,Base,NoLaunch,High,NoLaunch,Base,Low,Low,Low
11,Low,Low,High,Low,Base,Base,Base,Low,Base,NoLaunch,NoLaunch,Base,Base,Base,Base,High,High,Low
12,Low,High,Base,High,Base,Low,High,NoLaunch,Base,NoLaunch,Low,Low,Base,Base,High,High,Base,High
13,Base,High,Low,Base,High,High,High,NoLaunch,Low,Low,Low,High,Base,Low,Low,Base,Base,High
14,Base,High,Base,Base,High,Low,NoLaunch,High,NoLaunch,Low,Low,Base,Low,Low,Base,High,High,Low
15,High,Low,Low,High,Low,NoLaunch,Base,Low,High,Base,NoLaunch,Base,Low,Low,Low,Low,Low,Low
16,High,High,Base,High,Base,High,High,Base,Base,NoLaunch,Base,Base,Base,High,Base,Base,Base,Base
17,Base,High,Low,High,Low,NoLaunch,Base,Base,NoLaunch,Low,NoLaunch,NoLaunch,High,High,Base,Low,Low,High
18,High,Base,Low,High,High,Base,High,Low,Low,High,Base,High,Base,NoLaunch,High,High,Low,High
19,High,Low,Low,Low,Base,Low,Low,Base,Low,Base,High,Base,Low,NoLaunch,Base,Low,High,High
20,Base,Base,Low,Low,High,Low,Base,High,High,High,Base,Base,Low,High,Low,Base,High,Low
21,High,High,Base,Base,Base,NoLaunch,Low,Low,Base,Low,NoLaunch,High,Low,Base,Base,High,Low,Base
22,Base,High,High,High,Base,Low,Base,High,High,NoLaunch,NoLaunch,High,NoLaunch,High,High,Base,Low,High
23,High,Low,Base,Low,Base,NoLaunch,Base,High,Base,NoLaunch,Base,Low,Base,Base,High,Low,Low,Base
24,High,Base,Base,High,Low,Low,High,NoLaunch,NoLaunch,High,NoLaunch,NoLaunch,High,High,High,High,Low,High
25,Base,Low,Low,High,Base,NoLaunch,High,NoLaunch,High,Low,NoLaunch,High,Low,Base,Low,Base,High,Base
26,Base,High,High,Low,Base,Base,Base,NoLaunch,Base,High,Base,NoLaunch,Low,Base,Base,Base,Base,Low
27,High,High,Base,High,Base,NoLaunch,Low,NoLaunch,High,High,Base,Low,NoLaunch,Low,High,Low,High,High
28,Low,High,Base,Low,Base,NoLaunch,Low,High,Low,High,Low,NoLaunch,NoLaunch,NoLaunch,High,Base,Base,Low
29,Base,Low,High,Base,Base,NoLaunch,Base,Base,High,High,Base,Low,High,Low,Base,Base,Base,Base
30,Base,Low,High,High,High,NoLaunch,NoLaunch,Base,High,High,High,Low,Base,Low,High,High,Low,Low
31,Low,High,High,Low,Low,High,Base,High,Base,NoLaunch,High,NoLaunch,High,High,High,Base,Base,Base
32,Low,Low,Base,High,High,Base,Base,NoLaunch,High,High,NoLaunch,NoLaunch,High,NoLaunch,Low,High,Low,Low
33,Base,Low,High,Base,Low,Low,Low,NoLaunch,NoLaunch,Low,High,Low,Base,High,Low,Base,Low,Low
34,Low,Base,Base,Base,Low,Base,Low,Base,High,High,NoLaunch,Base,NoLaunch,NoLaunch,Low,Base,Low,High
35,High,High,Low,Base,Base,High,Base,High,Low,NoLaunch,Base,Base,Low,Base,Base,Low,Base,High
36,High,Base,Base,Base,Base,Low,Low,Base,Low,Low,High,NoLaunch,Low,High,Base,Low,High,High
37,High,Base,High,Base,Base,High,Low,Low,Low,High,High,Base,High,High,Low,High,Low,Base
38,Low,Base,Low,High,Base,NoLaunch,Low,High,Base,Base,High,Base,High,Base,Low,High,Base,Low
39,Base,Base,Low,Low,High,Low,Base,Base,NoLaunch,Base,Low,Low,High,High,Low,Base,High,High
40,Base,Low,Base,Base,High,Low,Base,Base,High,High,High,High,High,Base,High,Base,Base,High
41,High,Low,Low,Low,High,Low,High,High,Low,Base,Base,Base,NoLaunch,NoLaunch,Low,Base,Low,High
42,Base,Base,High,Base,High,Base,High,Base,High,NoLaunch,Base,Base,Low,Low,Low,Base,High,Low
43,High,Base,High,High,High,Base,Low,Base,Base,Low,NoLaunch,Low,High,Low,Base,Base,Base,Base
44,Base,Low,Low,Base,Base,High,Low,Low,Low,NoLaunch,High,High,NoLaunch,NoLaunch,Base,Base,High,Base
45,High,Low,Base,Base,Base,Base,High,High,NoLaunch,Low,Low,High,Low,Base,Low,Base,Base,High
46,High,Base,Base,Low,High,Low,High,Low,Base,Low,High,Low,Base,Low,Low,High,Base,Base
47,Base,Base,Low,High,Low,Low,Low,Base,Low,High,NoLaunch,High,Low,Low,Base,High,Base,Base
48,Base,Base,High,Low,Low,Base,NoLaunch,Base,Low,NoLaunch,Base,Base,Base,Low,Base,Base,Base,Base
49,Low,High,High,Base,High,NoLaunch,Low,Low,Low,High,Low,High,Low,Low,High,Base,Base,Base
