,Case 1: Stability,Case 1: Stability,Case 1: Stability,Case 2: SVD,Case 2: SVD,Case 2: SVD,Case 3: SC,Case 3: SC,Case 3: SC,Case 4: SCVD,Case 4: SCVD,Case 4: SCVD
,SP,DRO,RO,SP,DRO,RO,SP,DRO,RO,SP,DRO,RO
Design,,,,,,,,,,,,
Multi-period,210.5972216007958,207.98018964505624,183.99499337503082,202.33481794388751,198.4868755751171,180.18536654971967,188.23122577714759,183.67279541267004,158.915491366107,170.6629636314155,167.87932034070624,151.00345595127223
Start-period,210.23802844333332,207.61674994792256,183.45632382392205,202.3348179438875,198.4868755751171,180.18536654971967,180.50274324414525,179.94677764538778,170.7488020995859,158.36446232644334,155.55196183135757,149.38259722276663
Long-chain,210.2380284433333,207.56893248154157,183.456323823922,202.3522102742431,198.38310428028808,180.18536654971965,166.08886761398617,161.25152292592736,139.74235293282175,155.83028028565758,152.16831446111922,139.29307261495597
Decision-rule,205.17292193933858,203.18664777129405,187.45632382392196,187.2734456868459,183.41242179437768,150.1271265888717,178.57473514417455,175.22666870706777,156.20217124585784,148.6332164513409,145.99257261873464,116.9798192315211
Perfect Information,214.21290299121154,211.12883060172146,187.45632382392196,205.6794580813097,201.55530490013984,184.18536654971965,190.3820941802237,185.9880568827152,171.3339203910571,177.16260484118766,173.20082574379757,152.4890123189184
Start-period RO,208.9191683355576,205.96802721520768,187.45632382392196,199.82765936076174,195.69230560739635,184.18536654971965,180.48634535059895,179.93249459070836,170.74880209958587,158.17568352289726,155.33592774799018,149.3825972227666
Multi-period RO,208.9191683355576,205.96802721520768,187.45632382392196,199.82765936076174,195.69230560739635,184.18536654971965,181.07146364207017,180.51761288217958,171.3339203910571,169.51296929973097,166.18185032604612,152.48901231891844
Start-period DRO,210.23802844333332,207.61674994792259,183.45632382392205,202.3348179438875,198.4868755751171,180.18536654971967,180.50274324414525,179.94677764538778,170.7488020995859,158.32471742114845,155.56393296888814,149.38259722276658
Multi-period DRO,210.59722160079576,207.98018964505624,183.99499337503082,202.33481794388751,198.4868755751171,180.18536654971967,188.2270332209202,183.6727954126701,158.91549136610703,171.17825005223173,168.2165012365285,150.93855600535557
