scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.025,Flat,Decrease,Decrease,Increase,187672.49533426837,187672.49533426837,187435.6216183629,187596.41028106003,191673.84273204202,185481.7953178564,185481.7953178564,187672.49533426837,187672.49533426837
1,0.025,Increase,Decrease,Flat,Increase,211747.53001868524,211747.53001868524,211928.27641960353,183605.66415733553,213896.4892454239,207198.57077848626,207198.57077848626,211747.53001868524,211747.53001868524
2,0.025,Increase,Increase,Flat,Increase,225291.38468900303,225291.38468900303,225448.5390232724,197188.70506273076,230545.60015537732,226198.2445230328,226198.2445230328,225291.38468900303,225291.38468900303
3,0.025,Increase,Increase,Increase,Flat,212581.91004854732,212581.91004854732,212581.91004854735,209121.4138490378,223008.12764411006,212823.1218280941,212823.1218280941,212581.91004854732,212581.91004854732
4,0.025,Decrease,Flat,Increase,Decrease,203468.95722490226,203468.95722490226,203537.82158064848,205470.29901224514,206506.96132580918,203975.6685090004,203975.6685090004,203468.95722490226,203468.95722490226
5,0.025,Decrease,Decrease,Increase,Flat,197716.1334073581,197716.1334073581,197617.9207727158,172732.56778183693,199586.34256309585,195021.9248297662,195021.9248297662,197716.1334073581,197716.1334073581
6,0.025,Flat,Decrease,Flat,Flat,197608.92752531913,197608.92752531913,197865.79213474653,175115.57258141434,200383.41171566705,197903.5546051788,197903.5546051788,197608.92752531913,197608.92752531913
7,0.025,Decrease,Increase,Flat,Decrease,201488.68237650066,201488.68237650066,202021.5788615891,188861.08983343744,203244.2143799498,198447.47286681327,198447.47286681327,201488.68237650066,201488.68237650066
8,0.025,Flat,Flat,Decrease,Decrease,194444.44790587324,194444.44790587324,194444.4479058732,180133.3947868978,195872.1489009054,194344.52452838077,194344.52452838077,194444.44790587324,194444.44790587324
9,0.025,Decrease,Decrease,Flat,Increase,197879.05495744743,197879.05495744743,197359.36127197236,197986.1954218219,199171.98667494324,194893.85172188183,194893.85172188183,197879.05495744743,197879.05495744743
10,0.025,Decrease,Flat,Flat,Increase,202366.26320508242,202366.26320508242,202276.1948676365,183106.77179357008,203067.8194117079,197449.19156866768,197449.19156866768,202366.26320508242,202366.26320508242
11,0.025,Increase,Increase,Increase,Increase,218199.95212587633,218199.95212587633,218199.95212587636,189907.68355878408,231146.7144476174,219798.98159657515,219798.98159657515,218199.95212587633,218199.95212587633
12,0.025,Decrease,Flat,Decrease,Increase,203199.28192200634,203199.28192200634,203346.5683663202,179322.16102441755,204554.34203188762,198722.36096842506,198722.36096842506,203199.28192200634,203199.28192200634
13,0.025,Increase,Increase,Increase,Decrease,211741.03020103584,211741.03020103584,211741.0302010357,210248.96527693325,216646.14182049988,203662.81706268308,203662.81706268308,211741.03020103584,211741.03020103584
14,0.025,Increase,Flat,Flat,Decrease,204514.8200184274,204514.8200184274,204082.32730926343,176879.76759805324,206441.83044478478,202317.77664661416,202317.77664661416,204514.8200184274,204514.8200184274
15,0.025,Flat,Flat,Decrease,Flat,196845.0460714847,196845.0460714847,196742.1736257045,173910.80107192224,199373.5335773113,199373.53357731126,199373.53357731126,196845.0460714847,196845.0460714847
16,0.025,Increase,Decrease,Decrease,Increase,208671.71687386848,208671.71687386848,208740.53606975492,200615.08368276423,210530.77513429814,200008.06075281606,200008.06075281606,208671.71687386848,208671.71687386848
