scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.025590551181102362,Flat,Decrease,Decrease,Increase,185125.42277699243,180181.3652906472,161666.08311265748,170119.43149677652,185874.22330676895,180181.36529064723,180766.4835821184,180181.3652906472,185125.4227769925
1,0.025590551181102362,Increase,Decrease,Flat,Increase,195968.85986405014,180923.94141601984,173183.4406765138,175004.71897094097,196717.66039382655,180923.9414160198,181509.05970749102,180923.94141601984,195968.85986405017
2,0.025590551181102362,Increase,Increase,Flat,Increase,207987.29891797568,182409.09366676502,186549.7206840368,189532.94670476884,208910.95322912643,182409.09366676508,182994.2119582363,182409.09366676502,207987.29891797568
3,0.025590551181102362,Increase,Increase,Increase,Flat,206510.65366634735,182409.09366676502,185073.07543240848,193001.7375767619,207259.4542098293,182409.09366676502,182994.21195823624,182409.09366676502,206510.6536663473
4,0.025590551181102362,Decrease,Flat,Increase,Decrease,173227.71932515776,180096.7384426876,154728.50136867128,171188.3196817073,180766.48358211838,180096.73844268764,180681.85673415882,180096.7384426876,173227.71932515776
5,0.025590551181102362,Decrease,Decrease,Increase,Flat,177750.77656192792,179147.6728082937,153617.51642079404,174071.6109886925,180023.9074567458,179147.6728082937,179732.79109976487,179147.6728082937,177750.77656192792
6,0.025590551181102362,Flat,Decrease,Flat,Flat,181656.63190499943,180181.3652906472,158197.29224066442,173588.2223687696,182405.4324347758,180181.36529064723,180766.4835821184,180181.3652906472,181656.6319049995
7,0.025590551181102362,Decrease,Increase,Flat,Decrease,177133.57466822932,180660.81701644094,159308.27718854157,174199.1898516788,182842.49690585432,180666.67579822277,181251.79408969398,180660.81701644094,177133.57466822932
8,0.025590551181102362,Flat,Flat,Decrease,Decrease,177811.77079788008,180487.26688054847,155839.4863165484,172120.6811494601,181072.38517201965,180487.26688054847,181072.38517201965,180487.26688054847,177811.77079788013
9,0.025590551181102362,Decrease,Decrease,Flat,Increase,181219.56743392098,179438.78916527462,157086.30729278715,172171.72576659828,181968.36903419672,179438.78916527465,180023.90745674586,179438.78916527462,181219.56743392098
10,0.025590551181102362,Decrease,Flat,Flat,Increase,188594.21364898563,180181.3652906472,165134.87398465048,180220.2924584616,189343.01442705208,180181.3652906472,180766.4835821184,180181.3652906472,188594.2136489856
11,0.025590551181102362,Increase,Increase,Increase,Increase,208946.69635929854,182409.09366676502,187509.1181253597,193001.7375767619,210226.03092209314,182409.09366676502,182994.21195823624,182409.09366676502,208946.69635929854
12,0.025590551181102362,Decrease,Flat,Decrease,Increase,185125.42277699258,180181.36529064717,161666.0831126574,176751.5015864685,185874.2233067689,180181.36529064723,180766.4835821184,180181.36529064717,185125.42277699252
13,0.025590551181102362,Increase,Increase,Increase,Decrease,200311.77967820014,182409.09366676502,178874.20144426127,190266.95561615808,201060.58074150537,182409.09366676502,182994.21195823624,182409.09366676502,200311.77967820017
14,0.025590551181102362,Increase,Flat,Flat,Decrease,189468.34259114254,181666.51754139242,167356.84388040483,180318.50370220048,190217.14312091892,181666.5175413925,182251.63583286369,181666.51754139242,189468.3425911425
15,0.025590551181102362,Flat,Flat,Decrease,Flat,185562.487248071,180923.94141601978,162777.06806053457,178167.99818863985,186311.28777784738,180923.94141601978,181509.05970749096,180923.94141601978,185562.48724807103
16,0.025590551181102362,Increase,Decrease,Decrease,Increase,192500.0689920571,180923.94141601984,169714.6498045207,171535.9280989479,193248.8695218335,180923.9414160198,181509.05970749102,180923.94141601984,192500.06899205712
17,0.025590551181102362,Flat,Increase,Decrease,Flat,192937.13346313554,181666.51754139242,170825.63475239798,184647.6592306044,193685.93399291195,181666.51754139244,182251.63583286363,181666.51754139242,192937.13346313566
18,0.025590551181102362,Increase,Flat,Increase,Flat,199874.71520712168,181666.51754139242,177763.2164963841,186522.07653479735,200623.5158910734,181666.51754139247,182251.63583286369,181666.51754139242,199874.71520712168
19,0.025590551181102362,Decrease,Increase,Increase,Increase,199437.6507360432,180923.94141601984,176652.2315485069,190168.7443724192,200186.45126581966,180923.94141601984,181509.05970749102,180923.94141601984,199437.65073604326
20,0.025590551181102362,Flat,Decrease,Decrease,Flat,178187.84103300638,180181.36529064717,154728.50136867128,170119.43149677652,180766.4835821184,180181.36529064717,180766.48358211835,180181.36529064717,178187.8410330064
21,0.025590551181102362,Flat,Increase,Flat,Flat,196405.92433512863,181666.51754139242,174294.42562439106,188116.45010259748,197154.7264708863,181666.51754139244,182251.63583286363,181666.51754139242,196405.92433512874
22,0.025590551181102362,Decrease,Decrease,Decrease,Decrease,158915.49136610702,170748.8020995859,139742.35293282176,156202.17124585784,171333.9203910571,170748.80209958588,171333.9203910571,170748.8020995859,158915.49136610705
23,0.025590551181102362,Decrease,Decrease,Decrease,Flat,170813.19481794178,176685.2832975433,146679.9346768079,167134.02924470635,177270.40158901445,176685.2832975433,177270.4015890145,176685.2832975433,170813.19481794178
24,0.025590551181102362,Decrease,Increase,Increase,Flat,192500.06899205715,180923.94141601978,169714.64980452077,188599.83872252036,193248.8696307186,180923.9414160198,181509.05970749102,180923.94141601978,192500.06899205712
25,0.025590551181102362,Decrease,Increase,Flat,Flat,189031.2781200641,180923.9414160198,166245.8589325277,185131.0478505273,189780.07864984043,180923.94141601984,181509.05970749102,180923.9414160198,189031.27812006406
26,0.025590551181102362,Flat,Flat,Decrease,Increase,192500.0689920571,180923.9414160198,169714.64980452074,178167.99818863985,193248.8695218335,180923.94141601984,181509.05970749102,180923.9414160198,192500.06899205712
27,0.025590551181102362,Increase,Decrease,Decrease,Flat,185562.48724807103,180923.94141601972,162777.06806053463,171535.9280989479,186311.28777784735,180923.94141601984,181509.05970749102,180923.94141601972,185562.487248071
28,0.025590551181102362,Flat,Flat,Flat,Increase,195968.85986405017,180923.9414160198,173183.4406765138,181636.78906063293,196717.66118136898,180923.94141601984,181509.05970749102,180923.9414160198,195968.8598640502
29,0.025590551181102362,Decrease,Decrease,Increase,Increase,184688.35830591404,179438.7891652746,160555.0981647802,175640.51663859133,185437.16026605226,179438.78916527462,180023.9074567458,179438.7891652746,184688.35830591404
30,0.025590551181102362,Flat,Increase,Increase,Decrease,192123.9987569309,181666.5175413924,170825.63475239798,185537.9239354108,193685.93399291197,181666.51754139244,182251.63583286363,181666.5175413924,192123.99875693087
31,0.025590551181102362,Flat,Flat,Flat,Decrease,181280.56166987316,180923.9414160198,159308.2771885415,175589.4720214532,182093.69637607795,180923.94141601978,181509.05970749096,180923.9414160198,181280.56166987322
32,0.025590551181102362,Increase,Decrease,Flat,Decrease,182093.69637607795,180923.94141601984,159308.27718854154,172269.93701033716,182842.4969058543,180666.67579822277,181251.79408969398,180923.94141601984,182093.69637607798
33,0.025590551181102362,Flat,Decrease,Increase,Increase,192063.00452097863,180181.36529064717,168603.66485664356,177057.01324076267,192811.8050507551,180181.36529064723,180766.4835821184,180181.36529064717,192063.0045209786
34,0.0019685039370078757,Increase,Decrease,Flat,NoLaunch,134842.88508659275,142551.94447104316,108687.8635150627,143983.03882114435,145613.10682116784,140983.03882114435,141568.15711261553,142551.94447104316,134842.88508659275
35,0.025590551181102362,Flat,Increase,Increase,Flat,199874.71520712168,181666.51754139242,177763.21649638412,191585.24097459053,200623.51573689812,181666.51754139244,182251.63583286363,181666.51754139242,199874.7152071218
36,0.025590551181102362,Decrease,Flat,Decrease,Flat,178187.84103300638,180181.36529064717,154728.50136867125,175182.59593656968,180766.4835821184,180181.36529064723,180766.4835821184,180181.36529064717,178187.84103300638
37,0.025590551181102362,Increase,Flat,Decrease,Decrease,185999.55171914946,181666.51754139242,163888.05300841175,176849.7128302074,186748.35224892583,181666.5175413925,182251.63583286369,181666.51754139242,185999.5517191494
