scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.012345679012345678,Increase,Increase,Increase,Increase,216189.26014248392,215650.59059137528,215650.59059137525,220774.61161993485,232763.1839050709,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
1,0.012345679012345678,Increase,Increase,Increase,Flat,216189.26014248395,215650.59059137525,215650.59059137525,215037.27647865826,228066.2134998524,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
2,0.012345679012345678,Increase,Increase,Increase,Decrease,215929.66035881714,215650.59059137528,215650.59059137528,206988.70978679496,220503.91085202084,211602.02389951193,211602.02389951193,215650.59059137528,215929.6603588171
3,0.012345679012345678,Increase,Increase,Flat,Increase,216189.26014248398,215650.59059137525,215650.59059137525,215037.27647865826,228066.21349985237,219650.59059137525,219650.59059137525,215650.59059137522,216189.26014248395
4,0.012345679012345678,Increase,Increase,Flat,Flat,216189.26014248395,215650.59059137522,215650.59059137525,208113.64218268456,222182.94393993675,219650.59059137525,219650.59059137525,215650.59059137522,216189.26014248395
5,0.012345679012345678,Increase,Increase,Flat,Decrease,215929.66035881717,215650.59059137534,215650.59059137525,200065.0754908212,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137537,215929.66035881714
6,0.012345679012345678,Increase,Increase,Decrease,Increase,215929.66035881714,215650.59059137528,215650.59059137525,206988.7097867949,220503.91085202087,211602.02389951193,211602.02389951193,215650.59059137525,215929.66035881717
7,0.012345679012345678,Increase,Increase,Decrease,Flat,215929.6603588172,215650.59059137537,215650.59059137525,200065.07549082118,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137537,215929.6603588172
8,0.012345679012345678,Increase,Increase,Decrease,Decrease,215670.06057515033,215650.5905913753,213737.89193613356,201883.16402591616,216292.52441554348,203553.4572076486,203553.4572076486,215650.5905913753,215670.06057515036
9,0.012345679012345678,Increase,Flat,Increase,Increase,216189.26014248395,215650.59059137525,215650.59059137525,215037.2764786582,228066.2134998524,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248404
10,0.012345679012345678,Increase,Flat,Increase,Flat,216189.26014248395,215650.59059137528,215650.59059137525,208113.64218268456,222182.94510828372,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
11,0.012345679012345678,Increase,Flat,Increase,Decrease,215929.66035881717,215650.5905913753,215650.59059137528,200065.07549082124,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137528,215929.66035881717
12,0.012345679012345678,Increase,Flat,Flat,Increase,216189.26014248398,215650.59059137525,215650.59059137525,208113.64218268456,222182.94510828378,219650.59059137525,219650.59059137525,215650.59059137528,216189.26014248404
13,0.012345679012345678,Increase,Flat,Flat,Flat,216189.26014248395,215650.59059137525,215650.59059137525,201190.00788671084,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137528,216189.26014248398
14,0.012345679012345678,Increase,Flat,Flat,Decrease,215164.5808967205,214885.51112927863,214885.51112927857,211602.02389951193,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927866,215164.58089672055
15,0.012345679012345678,Increase,Flat,Decrease,Increase,215929.66035881714,215650.59059137525,215650.59059137537,200065.07549082124,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137525,215929.6603588171
16,0.012345679012345678,Increase,Flat,Decrease,Flat,215164.58089672058,214885.51112927857,214120.43166718187,211602.02389951193,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927863,215164.5808967205
17,0.012345679012345678,Increase,Flat,Decrease,Decrease,207881.0936669539,207602.02389951205,207602.02389951202,203553.4572076486,209922.99081159607,203553.4572076486,203553.4572076486,207602.02389951205,207881.0936669539
18,0.012345679012345678,Increase,Decrease,Increase,Increase,215929.66035881714,215650.5905913753,215650.59059137528,206988.7097867949,220503.91085202084,211602.02389951193,211602.02389951193,215650.59059137528,215929.6603588171
19,0.012345679012345678,Increase,Decrease,Increase,Flat,215929.66035881717,215650.59059137525,215650.59059137534,200065.07549082127,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137528,215929.66035881717
20,0.012345679012345678,Increase,Decrease,Increase,Decrease,213757.3619199087,213737.8919361337,215650.5905913753,209189.15459240688,216292.52441554348,203553.4572076486,203553.4572076486,213737.89193613362,213757.36191990858
21,0.012345679012345678,Increase,Decrease,Flat,Increase,215929.6603588171,215650.59059137534,215650.59059137528,200065.07549082127,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137534,215929.66035881714
22,0.012345679012345678,Increase,Decrease,Flat,Flat,214399.50143462373,214120.43166718184,214885.5111292786,211602.02389951193,217971.5575034594,211602.02389951193,211602.02389951193,214120.43166718187,214399.5014346237
23,0.012345679012345678,Increase,Decrease,Flat,Decrease,207881.0936669539,207602.02389951202,207602.02389951205,203553.4572076486,209922.99081159604,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
24,0.012345679012345678,Increase,Decrease,Decrease,Increase,213757.36191990858,213737.89193613356,213737.8919361336,209189.15459240688,216292.52441554348,203553.4572076486,203553.4572076486,213737.89193613367,213757.3619199087
25,0.012345679012345678,Increase,Decrease,Decrease,Flat,207881.09366695382,207602.02389951202,207602.02389951196,203553.4572076486,209922.99081159604,203553.4572076486,203553.4572076486,207602.02389951205,207881.09366695388
26,0.012345679012345678,Increase,Decrease,Decrease,Decrease,199832.52697509047,199553.45720764872,199553.45720764864,195504.8905157853,201874.42520005582,195504.8905157853,195504.8905157853,199553.45720764872,199832.52697509047
27,0.012345679012345678,Flat,Increase,Increase,Increase,216189.260142484,215650.59059137528,215650.59059137522,199459.34266226523,228066.21349985234,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248398
28,0.012345679012345678,Flat,Increase,Increase,Flat,216189.26014248404,215650.59059137525,215650.59059137528,200324.67527448808,222182.94510828378,219650.59059137525,219650.59059137525,215650.59059137528,216189.26014248398
29,0.012345679012345678,Flat,Increase,Increase,Decrease,215929.66035881714,215650.59059137534,215650.59059137525,192276.10858262476,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137534,215929.66035881723
30,0.012345679012345678,Flat,Increase,Flat,Increase,216189.26014248404,215650.59059137528,215650.59059137525,200324.67527448808,222182.94510845758,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248392
31,0.012345679012345678,Flat,Increase,Flat,Flat,216189.26014248398,215650.5905913753,215650.59059137528,201190.00788671087,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137528,216189.260142484
32,0.012345679012345678,Flat,Increase,Flat,Decrease,215164.5808967205,214885.5111292786,214120.43166718184,210736.69128728908,217971.55800157395,211602.02389951193,211602.02389951193,214885.51112927863,215164.58089672046
33,0.012345679012345678,Flat,Increase,Decrease,Increase,215929.66035881714,215650.59059137525,215650.5905913753,192276.10858262476,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137534,215929.66035881717
34,0.012345679012345678,Flat,Increase,Decrease,Flat,215164.58089672046,214885.5111292786,214885.51112927866,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927857,215164.58089672046
35,0.012345679012345678,Flat,Increase,Decrease,Decrease,207881.0936669539,207602.02389951205,207602.02389951202,202688.1245954258,209922.99081159604,203553.4572076486,203553.4572076486,207602.023899512,207881.09366695382
36,0.012345679012345678,Flat,Flat,Increase,Increase,216189.26014248395,215650.59059137528,215650.59059137525,200324.67527448805,222182.94393993678,219650.59059137525,219650.59059137525,215650.5905913753,216189.260142484
37,0.012345679012345678,Flat,Flat,Increase,Flat,216189.26014248398,215650.5905913753,215650.59059137525,201190.00788671087,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137528,216189.26014248398
38,0.012345679012345678,Flat,Flat,Increase,Decrease,214399.50143462373,214120.43166718184,214885.51112927866,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214120.4316671818,214399.5014346237
39,0.012345679012345678,Flat,Flat,Flat,Increase,216189.26014248395,215650.59059137528,215650.59059137525,201190.00788671087,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
40,0.012345679012345678,Flat,Flat,Flat,Flat,216189.26014248395,215650.59059137525,215650.59059137525,219650.59059137525,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
41,0.012345679012345678,Flat,Flat,Flat,Decrease,208140.6934506207,207602.023899512,207602.02389951193,211602.02389951193,211602.02389951196,211602.02389951193,211602.02389951193,207602.02389951196,208140.6934506207
42,0.012345679012345678,Flat,Flat,Decrease,Increase,214399.50143462373,214120.43166718187,214885.51112927863,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214120.43166718187,214399.50143462373
43,0.012345679012345678,Flat,Flat,Decrease,Flat,208140.6934506207,207602.02389951196,207602.02389951193,211602.02389951193,211602.02389951196,211602.02389951193,211602.02389951193,207602.023899512,208140.6934506207
44,0.012345679012345678,Flat,Flat,Decrease,Decrease,200092.12675875734,199553.4572076486,199553.45720764858,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.4572076486,200092.12675875734
45,0.012345679012345678,Flat,Decrease,Increase,Increase,215929.6603588172,215650.5905913753,215650.59059137525,192276.10858262476,217971.5575034594,211602.02389951193,211602.02389951193,215650.5905913754,215929.6603588172
46,0.012345679012345678,Flat,Decrease,Increase,Flat,215164.58089672046,214885.51112927863,214885.51112927866,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927863,215164.58089672055
47,0.012345679012345678,Flat,Decrease,Increase,Decrease,207881.09366695388,207602.02389951202,207602.02389951205,202688.1245954258,209922.99081159604,203553.4572076486,203553.4572076486,207602.023899512,207881.09366695385
48,0.012345679012345678,Flat,Decrease,Flat,Increase,215164.58089672055,214885.51112927866,214120.43166718184,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214885.5111292786,215164.58089672046
49,0.012345679012345678,Flat,Decrease,Flat,Flat,208140.69345062066,207602.02389951196,207602.02389951193,211602.02389951193,211602.02389951196,211602.02389951193,211602.02389951193,207602.02389951196,208140.69345062066
50,0.012345679012345678,Flat,Decrease,Flat,Decrease,200092.12675875737,199553.45720764867,199553.45720764867,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.45720764872,200092.1267587574
51,0.012345679012345678,Flat,Decrease,Decrease,Increase,207881.09366695382,207602.023899512,207602.02389951207,202688.1245954258,209922.990811596,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
52,0.012345679012345678,Flat,Decrease,Decrease,Flat,200092.1267587574,199553.45720764872,199553.45720764858,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.4572076487,200092.12675875745
53,0.012345679012345678,Flat,Decrease,Decrease,Decrease,192043.56006689396,191504.89051578537,191504.89051578534,195504.8905157853,195504.8905157853,195504.8905157853,195504.8905157853,191504.89051578532,192043.56006689405
54,0.012345679012345678,Decrease,Increase,Increase,Increase,215929.66035881714,215650.59059137525,215650.59059137522,199199.7428785984,220503.91085202084,211602.0238995119,211602.0238995119,215650.5905913753,215929.66035881714
55,0.012345679012345678,Decrease,Increase,Increase,Flat,215929.66035881714,215650.59059137525,215650.59059137534,198789.9430539934,217971.5577547046,211602.0238995119,211602.0238995119,215650.59059137528,215929.66035881714
56,0.012345679012345678,Decrease,Increase,Increase,Decrease,213757.3619199086,213737.89193613362,213737.8919361336,209611.75889139943,216292.52441554348,203553.45720764858,203553.45720764858,213737.89193613367,213757.36191990873
57,0.012345679012345678,Decrease,Increase,Flat,Increase,215929.66035881714,215650.59059137528,215650.59059137528,198789.9430539934,217971.5575034594,211602.0238995119,211602.0238995119,215650.59059137537,215929.66035881708
58,0.012345679012345678,Decrease,Increase,Flat,Flat,214399.5014346237,214120.43166718184,214885.5111292787,217250.52575865772,217971.5575034594,211602.0238995119,211602.0238995119,214120.43166718193,214399.50143462373
59,0.012345679012345678,Decrease,Increase,Flat,Decrease,207881.09366695388,207602.023899512,207602.02389951196,209201.95906679437,209922.99081159604,203553.45720764858,203553.45720764858,207602.02389951202,207881.0936669539
60,0.012345679012345678,Decrease,Increase,Decrease,Increase,213757.3619199087,213737.89193613367,215650.5905913753,209611.75889139943,216292.52441554348,203553.45720764858,203553.45720764858,213737.8919361336,213757.3619199086
61,0.012345679012345678,Decrease,Increase,Decrease,Flat,207881.0936669539,207602.02389951205,207602.02389951196,209201.95906679437,209922.99081159604,203553.45720764858,203553.45720764858,207602.02389951196,207881.09366695382
62,0.012345679012345678,Decrease,Increase,Decrease,Decrease,199832.5269750905,199553.4572076487,199553.45720764864,201153.39237493108,201874.4241197327,195504.89051578526,195504.89051578526,199553.4572076487,199832.52697509056
63,0.012345679012345678,Decrease,Flat,Increase,Increase,215929.66035881717,215650.59059137537,215650.59059137525,198789.94305399337,217971.5575034594,211602.0238995119,211602.0238995119,215650.59059137525,215929.66035881723
64,0.012345679012345678,Decrease,Flat,Increase,Flat,215164.58089672055,214885.51112927863,214120.43166718187,217250.52575865772,217971.5575034594,211602.0238995119,211602.0238995119,214885.5111292786,215164.58089672046
65,0.012345679012345678,Decrease,Flat,Increase,Decrease,207881.09366695388,207602.02389951202,207602.02389951202,209201.95906679443,209922.99081159607,203553.45720764858,203553.45720764858,207602.02389951202,207881.09366695385
66,0.012345679012345678,Decrease,Flat,Flat,Increase,215164.58089672046,214885.51112927866,214885.51112927863,217250.52575865772,217971.55772739503,211602.0238995119,211602.0238995119,214885.51112927863,215164.58089672058
67,0.012345679012345678,Decrease,Flat,Flat,Flat,208140.6934506206,207602.02389951193,207602.0238995119,211602.0238995119,211602.02389951196,211602.0238995119,211602.0238995119,207602.02389951193,208140.6934506206
