scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.012345679012345678,Increase,Increase,Increase,Increase,208946.69635929854,182409.09366676502,187509.1181253597,193001.7375767619,210226.03092209314,182409.09366676502,182994.21195823624,182409.09366676502,208946.69635929854
1,0.012345679012345678,Increase,Increase,Increase,Flat,206510.65366634735,182409.09366676502,185073.07543240848,193001.7375767619,207259.4542098293,182409.09366676502,182994.21195823624,182409.09366676502,206510.6536663473
2,0.012345679012345678,Increase,Increase,Increase,Decrease,200311.77967820014,182409.09366676502,178874.20144426127,190266.95561615808,201060.58074150537,182409.09366676502,182994.21195823624,182409.09366676502,200311.77967820017
3,0.012345679012345678,Increase,Increase,Flat,Increase,207987.29891797568,182409.09366676502,186549.7206840368,189532.94670476884,208910.95322912643,182409.09366676508,182994.2119582363,182409.09366676502,207987.29891797568
4,0.012345679012345678,Increase,Increase,Flat,Flat,203780.57055019325,182409.09366676502,182342.99231625444,189532.94670476884,204529.37206722505,182409.09366676508,182994.2119582363,182409.09366676502,203780.5705501933
5,0.012345679012345678,Increase,Increase,Flat,Decrease,196842.98880620708,182409.09366676502,175405.4105722682,186798.16474416503,197591.7903226352,182409.09366676505,182994.21195823624,182409.09366676502,196842.9888062071
6,0.012345679012345678,Increase,Increase,Decrease,Increase,206382.01841845975,182409.09366676502,185073.07543240848,186064.15583277575,207130.81894823612,182409.09366676505,182994.21195823624,182409.09366676502,206042.42136403645
7,0.012345679012345678,Increase,Increase,Decrease,Flat,200311.77967820017,182409.09366676502,178874.20144426136,186064.15583277575,201060.58020797657,182409.09366676508,182994.2119582363,182409.09366676502,200311.77967820023
8,0.012345679012345678,Increase,Increase,Decrease,Decrease,193374.197934214,182409.09366676502,171936.61970027513,183329.37387217194,194122.99846399046,182409.09366676505,182994.21195823624,182409.09366676502,193374.19793421403
9,0.012345679012345678,Increase,Flat,Increase,Increase,205323.96457604307,181666.51754139242,183212.46586530548,186522.07653479735,206072.7651058195,181666.51754139247,182251.63583286369,181666.51754139242,205323.9645760431
