scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multistage stochastic,Two-stage multi-period (multistage recourse),Two-stage start-period (multistage recourse)
0,0.025,Flat,Decrease,Decrease,Increase,210477.09150362224,207881.09366695382,207602.02389951196
1,0.025,Increase,Decrease,Flat,Increase,218525.65819548554,215929.66035881717,215650.59059137528
2,0.025,Increase,Increase,Flat,Increase,228066.22009125038,216189.260142484,215650.59059137534
3,0.025,Increase,Increase,Increase,Flat,228066.21349985237,216189.26014248395,215650.5905913753
4,0.025,Decrease,Flat,Increase,Decrease,210477.09150362218,207881.09366695385,207602.023899512
5,0.025,Decrease,Decrease,Increase,Flat,210477.09150362218,207881.0936669538,207602.02389951196
6,0.025,Flat,Decrease,Flat,Flat,211602.02389951187,208140.69345062063,207602.02389951193
7,0.025,Decrease,Increase,Flat,Decrease,210477.09150362218,207881.0936669538,207602.02389951193
8,0.025,Flat,Flat,Decrease,Decrease,203553.45720764855,200092.12675875734,199553.45720764864
9,0.025,Decrease,Decrease,Flat,Increase,210477.09150362218,207881.0936669538,207602.02389951196
10,0.025,Decrease,Flat,Flat,Increase,218525.6581954855,215929.66035881714,215650.59059137528
11,0.025,Increase,Increase,Increase,Increase,232763.18390507106,216189.260142484,215650.5905913753
12,0.025,Decrease,Flat,Decrease,Increase,210477.09150362218,207881.0936669539,207602.02389951205
13,0.025,Increase,Increase,Increase,Decrease,221058.01154404704,215929.66035881714,215650.59059137528
14,0.025,Increase,Flat,Flat,Decrease,218525.65819548556,215929.66035881714,215650.59059137528
15,0.025,Flat,Flat,Decrease,Flat,211602.02389951187,208140.69345062063,207602.02389951193
16,0.025,Increase,Decrease,Decrease,Increase,217400.7257995959,215670.06057515033,215650.5905913753
17,0.025,Flat,Increase,Decrease,Flat,218525.65819548554,215929.6603588171,215650.59059137528
18,0.025,Increase,Flat,Increase,Flat,222182.94393993675,216189.26014248395,215650.59059137528
19,0.025,Decrease,Increase,Increase,Increase,221058.0115440471,215929.6603588172,215650.59059137534
20,0.025,Flat,Decrease,Decrease,Flat,203553.45720764855,200092.1267587573,199553.4572076486
21,0.025,Flat,Increase,Flat,Flat,219650.5905913752,216189.26014248395,215650.5905913753
22,0.025,Decrease,Decrease,Decrease,Decrease,187456.32382392188,183994.99337503078,183456.32382392205
23,0.025,Decrease,Decrease,Decrease,Flat,195504.8905157852,192043.56006689402,191504.89051578532
24,0.025,Decrease,Increase,Increase,Flat,218525.6581954855,215929.66035881708,215650.5905913753
25,0.025,Decrease,Increase,Flat,Flat,218525.6581954855,215929.66035881717,215650.5905913753
26,0.025,Flat,Flat,Decrease,Increase,218525.65819548556,215929.66035881714,215650.5905913753
27,0.025,Increase,Decrease,Decrease,Flat,210477.0915036222,207881.09366695382,207602.02389951196
28,0.025,Flat,Flat,Flat,Increase,219650.5905913752,216189.26014248398,215650.59059137525
29,0.025,Decrease,Decrease,Increase,Increase,217400.72579959588,215670.0605751503,215650.5905913753
30,0.025,Flat,Increase,Increase,Flat,222182.9439399367,216189.26014248395,215650.59059137528
31,0.025,Flat,Flat,Flat,Decrease,211602.02389951187,208140.69345062066,207602.02389951196
32,0.025,Increase,Decrease,Flat,Decrease,210477.0915036222,207881.09366695385,207602.02389951202
33,0.025,Flat,Decrease,Increase,Increase,218525.65819548554,215929.66035881714,215650.5905913753
34,0.025,Flat,Increase,Increase,Decrease,218525.65819548556,215929.6603588171,215650.59059137528
35,0.025,Decrease,Flat,Decrease,Flat,203553.45720764852,200092.12675875737,199553.45720764864
36,0.025,Increase,Flat,Decrease,Decrease,210477.09150362224,207881.09366695385,207602.023899512
37,0.025,Flat,Decrease,Increase,Decrease,210477.0915036222,207881.09366695388,207602.02389951205
38,0.025,Increase,Increase,Decrease,Decrease,217400.7257995959,215670.0605751503,215650.5905913753
39,0.025,Decrease,Flat,Increase,Flat,218525.6581954855,215929.6603588172,215650.59059137534
