scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multistage stochastic,Two-stage multi-period (multistage recourse),Two-stage start-period (multistage recourse)
0,0.025590551181102362,Flat,Decrease,Decrease,Increase,185874.22330676892,185125.4227769925,180181.36529064723
1,0.025590551181102362,Increase,Decrease,Flat,Increase,196717.66081432652,195968.8598640502,180923.94141601984
2,0.025590551181102362,Increase,Increase,Flat,Increase,208736.09944775206,207987.29891797568,182409.09366676502
3,0.025590551181102362,Increase,Increase,Increase,Flat,207259.4541961237,206510.65366634735,182409.09366676502
4,0.025590551181102362,Decrease,Flat,Increase,Decrease,178187.84103300632,178187.84103300635,180181.36529064717
5,0.025590551181102362,Decrease,Decrease,Increase,Flat,180023.90745674577,177750.77656192787,179438.78916527462
6,0.025590551181102362,Flat,Decrease,Flat,Flat,182405.43243477578,181656.6319049994,180181.3652906472
7,0.025590551181102362,Decrease,Increase,Flat,Decrease,182842.49690585432,182093.6963760779,180778.38323752937
8,0.025590551181102362,Flat,Flat,Decrease,Decrease,178624.90927523884,178624.90550408483,180487.26688054847
9,0.025590551181102362,Decrease,Decrease,Flat,Increase,180023.90745674574,181219.56743392098,179438.78916527462
10,0.025590551181102362,Decrease,Flat,Flat,Increase,188594.21364898558,188594.21364898558,180181.3652906472
11,0.025590551181102362,Increase,Increase,Increase,Increase,209695.49688907494,208946.69635929854,182409.09366676502
12,0.025590551181102362,Decrease,Flat,Decrease,Increase,185125.4227769925,185125.4227769925,180181.36529064723
13,0.025590551181102362,Increase,Increase,Increase,Decrease,201060.5802079766,200311.77967820023,182409.09366676502
14,0.025590551181102362,Increase,Flat,Flat,Decrease,190217.14312091898,189468.34259114251,181666.51754139242
15,0.025590551181102362,Flat,Flat,Decrease,Flat,185562.49101922492,185562.48724807097,180923.9414160198
16,0.025590551181102362,Increase,Decrease,Decrease,Increase,193248.8698244868,192500.06899205712,180923.9414160198
17,0.025590551181102362,Flat,Increase,Decrease,Flat,193685.93399291192,192937.1334631355,181666.51754139242
18,0.025590551181102362,Increase,Flat,Increase,Flat,200623.51573689806,199874.7152071218,181666.51754139236
19,0.025590551181102362,Decrease,Increase,Increase,Increase,200186.4512658196,199437.65073604323,180923.9414160198
20,0.025590551181102362,Flat,Decrease,Decrease,Flat,178936.64156278278,178187.84103300632,180181.36529064723
21,0.025590551181102362,Flat,Increase,Flat,Flat,197154.72486490506,196405.92433512863,181666.51754139242
22,0.025590551181102362,Decrease,Decrease,Decrease,Decrease,171333.9203910571,163875.6130739556,170748.8020995859
23,0.025590551181102362,Decrease,Decrease,Decrease,Flat,177270.40158901442,170813.19481794172,176685.28329754324
24,0.025590551181102362,Decrease,Increase,Increase,Flat,193248.8695218335,192500.06899205706,180923.94141601978
25,0.025590551181102362,Decrease,Increase,Flat,Flat,189780.07864984046,189031.278120064,180923.9414160198
26,0.025590551181102362,Flat,Flat,Decrease,Increase,192500.07276321104,192500.06899205715,180923.9414160198
27,0.025590551181102362,Increase,Decrease,Decrease,Flat,186311.2880805007,185562.48724807097,180923.9414160198
28,0.025590551181102362,Flat,Flat,Flat,Increase,195968.86201122738,195968.8598640502,180923.9414160198
29,0.025590551181102362,Decrease,Decrease,Increase,Increase,180023.90745674577,184688.35830591404,179438.7891652746
30,0.025590551181102362,Flat,Increase,Increase,Decrease,193685.93399291195,192937.13346313554,181666.51754139242
31,0.025590551181102362,Flat,Flat,Flat,Decrease,182093.7001472319,182093.69637607795,180923.9414160198
32,0.025590551181102362,Increase,Decrease,Flat,Decrease,182842.49720850764,182093.69637607786,180923.94141601984
33,0.025590551181102362,Flat,Decrease,Increase,Increase,192811.80505075504,192063.00452097863,180181.36529064717
34,0.0019685039370078757,Increase,Decrease,Flat,NoLaunch,142388.26225383373,134842.8850865928,142551.94447104319
35,0.025590551181102362,Flat,Increase,Increase,Flat,200623.5157368981,199874.71520712168,181666.51754139242
36,0.025590551181102362,Decrease,Flat,Decrease,Flat,178187.84103300632,178187.84103300632,180181.3652906472
37,0.025590551181102362,Increase,Flat,Decrease,Decrease,186748.35224892583,185999.55171914946,181666.51754139242
38,0.025590551181102362,Flat,Decrease,Increase,Decrease,175612.0031371956,178187.84103300635,180181.3652906472
39,0.025590551181102362,Increase,Increase,Decrease,Decrease,194122.99846399043,193374.19793421408,182409.09366676502
